File created on 2024-09-19T14:45:54.520293
Source data from mmsFile created on 2024-09-19 14:45:54.520055#COOR
GSM


#START
2024 05 10 00 00 00 000       -4.13       4.66      -1.88    -317.64      15.18      10.46       2.73      97.29
2024 05 10 00 01 00 000       -4.10       4.66      -1.78    -315.43      20.13      14.75       2.66      97.34
2024 05 10 00 02 00 000       -3.61       5.10      -1.82    -315.28      12.60      12.17       2.70      99.31
2024 05 10 00 03 00 000       -3.50       5.08      -2.07    -316.46      11.51      11.03       2.68      97.19
2024 05 10 00 04 00 000       -3.58       5.01      -2.06    -317.18      12.18      12.38       2.76      98.29
2024 05 10 00 05 00 000       -4.95       3.92      -1.33    -315.28      22.17      10.82       2.69      94.79
2024 05 10 00 06 00 000       -5.10       3.56      -1.29    -315.61      18.28       9.04       3.34      97.56
2024 05 10 00 07 00 000       -5.25       3.38      -1.24    -314.41      17.84       8.48       2.74      98.75
2024 05 10 00 08 00 000       -5.15       3.44      -1.35    -314.85      11.48       4.44       2.82      98.19
2024 05 10 00 09 00 000       -5.17       3.33      -1.50    -316.24      20.82      10.38       2.79      93.16
2024 05 10 00 10 00 000       -4.75       3.81      -1.78    -313.82      29.07      12.62       2.74      95.45
2024 05 10 00 11 00 000       -3.94       4.65      -2.06    -314.65      16.90      13.84       2.75      98.04
2024 05 10 00 12 00 000       -3.83       4.66      -2.23    -315.54       9.90      11.55       2.91      98.00
2024 05 10 00 13 00 000       -4.02       4.08      -2.39    -316.84      12.74      16.88       2.96      94.71
2024 05 10 00 14 00 000       -4.16       3.78      -2.11    -314.83      20.63      21.26       3.11      96.30
2024 05 10 00 15 00 000       -4.28       3.50      -2.05    -313.49      20.67      21.30       3.13      99.20
2024 05 10 00 16 00 000       -4.13       3.81      -2.01    -316.35      13.89      17.29       3.55      98.18
2024 05 10 00 17 00 000       -4.32       3.49      -1.94    -314.28      14.61      16.41       3.04      97.28
2024 05 10 00 18 00 000       -4.06       4.21      -2.13    -315.40      17.08      16.17       2.91      98.45
2024 05 10 00 19 00 000       -3.95       4.36      -1.93    -314.98      21.27      14.86       2.96      97.06
