Produced from MIDL 1D BATSRUS MHD at x=32.00 Re (nT, km/s, cm^-3, K)

#COORDINATES
GSM

year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5  9  0  0  0   0     -1.49      1.52      0.97   -467.96      1.91     -2.36    2.7394   181074.8
2024  5  9  0  1  0   0     -1.48      1.50      0.99   -467.28      2.53     -4.39    2.6952   179261.2
2024  5  9  0  2  0   0     -1.48      1.49      1.03   -466.61      4.35     -8.17    2.6859   177809.2
2024  5  9  0  3  0   0     -1.46      1.56      1.10   -467.41      5.21    -11.34    2.8763   183370.0
2024  5  9  0  4  0   0     -1.38      1.61      1.10   -467.31      5.00    -12.47    3.0184   186718.2
2024  5  9  0  5  0   0     -1.48      1.60      1.06   -467.47      4.18    -10.41    3.0612   189085.1
2024  5  9  0  6  0   0     -1.61      1.50      0.96   -467.12      4.87     -6.71    3.1771   187822.8
2024  5  9  0  7  0   0     -1.60      1.53      0.68   -466.31      5.40     -3.87    3.2290   183707.8
2024  5  9  0  8  0   0     -1.44      1.72      0.45   -465.83      4.84     -2.47    2.9316   190115.2
2024  5  9  0  9  0   0     -1.32      1.86      0.45   -465.15      3.01     -0.61    2.7010   193883.2
2024  5  9  0 10  0   0     -1.29      1.89      0.32   -464.56      1.81     -0.33    2.7140   188342.1
2024  5  9  0 11  0   0     -1.27      1.94      0.07   -465.31      3.38     -3.00    2.8176   186940.9
2024  5  9  0 12  0   0     -1.27      1.83      0.01   -465.50      4.75     -4.91    2.9173   189098.3
2024  5  9  0 13  0   0     -1.29      1.59      0.23   -465.48      6.12     -6.36    2.9278   190176.3
2024  5  9  0 14  0   0     -1.31      1.46      0.48   -465.73      6.49     -9.94    2.8909   189355.1
2024  5  9  0 15  0   0     -1.23      1.69      0.54   -465.33      2.86    -12.49    2.8527   188464.4
2024  5  9  0 16  0   0     -1.20      1.74      0.59   -465.63      0.70    -12.89    2.9028   191926.2
2024  5  9  0 17  0   0     -1.19      1.56      0.68   -465.94      1.23    -10.86    2.9707   194147.2
2024  5  9  0 18  0   0     -1.19      1.72      0.49   -466.32      4.62    -10.29    2.9191   190028.9
