File created on 2023-11-22T15:23:40.264825
Data obtained via superposed epoch analysis performed by Katus et al. [2015] (https://doi.org/10.1002/2014JA020712)
#COOR
GSM


#START
2000 01 01 00 00 00 000       -1.01       0.71      -0.17    -424.37       0.00       0.00       5.99   51441.33
2000 01 01 00 01 00 000       -1.30      -0.21      -1.02    -445.94       0.00       0.00       6.11   69335.06
2000 01 01 00 02 00 000       -2.08       0.95      -1.01    -474.26       0.00       0.00       5.53   94497.12
2000 01 01 00 03 00 000       -0.87       0.72      -0.23    -430.67       0.00       0.00       5.46   53524.55
2000 01 01 00 04 00 000       -1.03      -0.38      -1.09    -444.71       0.00       0.00       5.80   69123.20
2000 01 01 00 05 00 000       -1.78       0.67      -1.97    -470.12       0.00       0.00       5.54   87752.12
2000 01 01 00 06 00 000       -0.86       0.82      -0.54    -420.16       0.00       0.00       5.65   61298.30
2000 01 01 00 07 00 000       -1.04      -0.43      -0.66    -437.71       0.00       0.00       5.63   66196.46
2000 01 01 00 08 00 000       -2.02       0.11      -2.53    -465.98       0.00       0.00       5.41   96808.12
2000 01 01 00 09 00 000       -0.63       0.75      -0.91    -423.90       0.00       0.00       5.43   51604.11
2000 01 01 00 10 00 000       -1.93      -0.22      -2.91    -463.95       0.00       0.00       5.36   92136.00
2000 01 01 00 11 00 000       -1.07       0.48      -1.48    -424.76       0.00       0.00       5.55   52605.45
2000 01 01 00 12 00 000       -1.04      -0.01      -1.75    -449.33       0.00       0.00       6.43   67172.15
2000 01 01 00 13 00 000       -2.27       0.35      -3.73    -466.38       0.00       0.00       5.21   94662.88
2000 01 01 00 14 00 000       -1.04       0.56      -1.23    -423.48       0.00       0.00       6.26   61254.64
2000 01 01 00 15 00 000       -1.06      -0.02      -1.64    -447.01       0.00       0.00       6.64   68712.67
2000 01 01 00 16 00 000       -1.72       0.22      -3.26    -463.80       0.00       0.00       5.40   84147.62
2000 01 01 00 17 00 000       -1.22       0.62      -1.20    -409.43       0.00       0.00       6.90   55263.82
2000 01 01 00 18 00 000       -1.03       0.05      -1.44    -453.94       0.00       0.00       6.72   71324.21
2000 01 01 00 19 00 000       -2.15       0.16      -3.38    -463.50       0.00       0.00       5.25   93567.25
2000 01 01 00 20 00 000       -1.36       0.81      -1.33    -410.07       0.00       0.00       7.43   58596.50
2000 01 01 00 21 00 000       -0.81       0.19      -1.37    -453.21       0.00       0.00       6.55   79966.71
2000 01 01 00 22 00 000       -2.15      -0.10      -2.82    -460.19       0.00       0.00       5.20   87197.25
2000 01 01 00 23 00 000       -1.61       1.02      -1.50    -423.34       0.00       0.00       7.09   67500.30
2000 01 01 00 24 00 000       -1.19      -0.13      -3.08    -477.97       0.00       0.00       5.87   86666.33
2000 01 01 00 25 00 000       -0.78       0.51      -1.30    -423.91       0.00       0.00       6.24   64033.20
2000 01 01 00 26 00 000       -0.53       0.02      -1.65    -434.09       0.00       0.00       6.65   70832.80
2000 01 01 00 27 00 000       -1.57       0.00      -3.27    -459.94       0.00       0.00       5.20   88550.62
2000 01 01 00 28 00 000       -0.81       0.60      -1.23    -417.51       0.00       0.00       6.73   60337.55
2000 01 01 00 29 00 000       -0.74      -0.04      -1.58    -457.83       0.00       0.00       6.23   85192.46
2000 01 01 00 30 00 000       -1.60       0.04      -3.39    -472.94       0.00       0.00       4.57   99645.71
2000 01 01 00 31 00 000       -1.06       0.81      -1.30    -422.90       0.00       0.00       6.22   64004.09
2000 01 01 00 32 00 000       -0.60       0.11      -1.50    -444.40       0.00       0.00       6.46   72806.67
2000 01 01 00 33 00 000       -1.71       0.05      -3.05    -456.55       0.00       0.00       5.43   84456.88
2000 01 01 00 34 00 000       -1.25       0.88      -1.72    -414.26       0.00       0.00       6.63   62058.17
2000 01 01 00 35 00 000       -0.84       0.07      -1.87    -442.28       0.00       0.00       6.77   72333.00
2000 01 01 00 36 00 000       -1.99       0.29      -2.75    -459.65       0.00       0.00       5.23   97996.50
2000 01 01 00 37 00 000       -1.18       0.94      -1.38    -413.70       0.00       0.00       6.36   64794.08
2000 01 01 00 38 00 000       -0.88       0.67      -1.33    -442.09       0.00       0.00       6.89   71121.00
2000 01 01 00 39 00 000       -2.57       3.40      -4.95    -420.05       0.00       0.00       4.06   82118.50
2000 01 01 00 40 00 000       -0.70       1.09      -2.02    -446.14       0.00       0.00       6.34   76640.67
2000 01 01 00 41 00 000       -2.74       1.42      -1.34    -477.00       0.00       0.00       4.82   96378.43
2000 01 01 00 42 00 000       -1.24       1.53      -1.28    -415.93       0.00       0.00       6.08   61123.00
2000 01 01 00 43 00 000       -0.71       1.21      -1.57    -438.81       0.00       0.00       6.21   73628.44
2000 01 01 00 44 00 000       -1.88       1.73      -1.53    -470.44       0.00       0.00       5.69   93518.62
2000 01 01 00 45 00 000       -1.22       1.66      -2.08    -395.97       0.00       0.00       6.92   55199.90
2000 01 01 00 46 00 000       -0.54       1.11      -2.59    -448.13       0.00       0.00       6.55   77218.54
2000 01 01 00 47 00 000       -1.39       1.35      -2.69    -461.20       0.00       0.00       5.84   83927.12
2000 01 01 00 48 00 000       -1.25       1.43      -1.03    -424.85       0.00       0.00       6.58   77063.27
2000 01 01 00 49 00 000       -0.63       0.96      -2.23    -455.54       0.00       0.00       7.04   87059.46
2000 01 01 00 50 00 000       -1.56       1.17      -2.16    -460.16       0.00       0.00       5.50   92602.25
2000 01 01 00 51 00 000       -1.61       1.23      -1.67    -430.81       0.00       0.00       6.77   75203.90
2000 01 01 00 52 00 000       -0.81       0.16      -1.16    -442.35       0.00       0.00       6.19   71867.31
2000 01 01 00 53 00 000       -1.89       0.57      -1.72    -454.06       0.00       0.00       5.57   86199.12
2000 01 01 00 54 00 000       -1.15       0.84      -2.18    -435.68       0.00       0.00       7.52   69931.00
2000 01 01 00 55 00 000       -1.76       0.19      -1.66    -455.95       0.00       0.00       5.86   87473.12
2000 01 01 00 56 00 000       -1.91       0.82      -1.73    -428.44       0.00       0.00       6.39   93523.09
2000 01 01 00 57 00 000       -1.05       0.64      -2.40    -437.52       0.00       0.00       6.94   74335.77
2000 01 01 00 58 00 000       -1.95       0.66      -1.96    -427.90       0.00       0.00       6.02   66081.57
2000 01 01 00 59 00 000       -1.65       1.47      -2.04    -413.94       0.00       0.00       6.71   76636.64
2000 01 01 01 00 00 000       -0.96       0.71      -2.05    -458.59       0.00       0.00       6.49   89454.07
2000 01 01 01 01 00 000       -1.97       0.73      -1.48    -457.18       0.00       0.00       5.61   90341.75
2000 01 01 01 02 00 000       -1.63       0.99      -1.77    -425.59       0.00       0.00       6.88   91281.00
2000 01 01 01 03 00 000       -0.91       0.22      -2.08    -442.07       0.00       0.00       6.80   77222.14
2000 01 01 01 04 00 000       -1.68       0.54      -1.36    -452.51       0.00       0.00       5.55   67090.71
2000 01 01 01 05 00 000       -2.14       0.61      -1.52    -417.71       0.00       0.00       6.12   83564.67
2000 01 01 01 06 00 000       -0.96       0.12      -1.89    -434.89       0.00       0.00       6.54   66975.57
2000 01 01 01 07 00 000       -1.71       0.33      -1.95    -454.49       0.00       0.00       5.45   82509.00
2000 01 01 01 08 00 000       -2.27       0.88      -1.18    -422.32       0.00       0.00       5.65   91663.73
2000 01 01 01 09 00 000       -1.22       0.17      -1.98    -474.03       0.00       0.00       6.18   75932.50
2000 01 01 01 10 00 000       -2.48       0.99      -1.40    -421.28       0.00       0.00       4.66   80784.36
2000 01 01 01 11 00 000       -1.14       0.55      -1.48    -437.84       0.00       0.00       5.22   81607.00
2000 01 01 01 12 00 000       -1.49       0.16      -1.22    -452.55       0.00       0.00       5.52   92181.62
2000 01 01 01 13 00 000       -2.15       1.24      -1.15    -423.46       0.00       0.00       4.39   87737.60
2000 01 01 01 14 00 000       -0.88       0.69      -1.71    -450.95       0.00       0.00       5.25   70978.09
2000 01 01 01 15 00 000       -1.80      -0.13      -1.32    -446.32       0.00       0.00       5.54   75095.20
2000 01 01 01 16 00 000       -1.67       0.96      -0.97    -406.77       0.00       0.00       4.35   66302.91
2000 01 01 01 17 00 000       -1.03       0.49      -2.16    -462.82       0.00       0.00       5.44   99917.36
2000 01 01 01 18 00 000       -1.90       0.40      -1.67    -467.99       0.00       0.00       5.51  103458.17
2000 01 01 01 19 00 000       -1.53       0.83      -1.08    -415.67       0.00       0.00       5.20   85085.20
2000 01 01 01 20 00 000       -0.91       0.16      -2.00    -436.14       0.00       0.00       5.08   68171.20
2000 01 01 01 21 00 000       -2.07       0.56      -1.83    -439.26       0.00       0.00       6.21   76021.43
2000 01 01 01 22 00 000       -1.25       1.24      -1.62    -422.00       0.00       0.00       5.44   86376.90
2000 01 01 01 23 00 000       -0.83       0.70      -2.13    -445.01       0.00       0.00       5.46   78778.47
2000 01 01 01 24 00 000       -2.82       4.19      -2.52    -407.10       0.00       0.00       4.45   94118.00
2000 01 01 01 25 00 000       -0.92       0.39      -1.46    -439.13       0.00       0.00       5.21   68213.00
2000 01 01 01 26 00 000       -1.79       0.59      -2.02    -435.29       0.00       0.00       6.06   72817.71
2000 01 01 01 27 00 000       -1.54       1.47      -1.61    -449.88       0.00       0.00       4.86  101176.00
2000 01 01 01 28 00 000       -1.07       0.20      -1.75    -454.45       0.00       0.00       5.11   92332.47
2000 01 01 01 29 00 000       -2.30       0.16      -1.41    -455.14       0.00       0.00       5.25   81406.38
2000 01 01 01 30 00 000       -1.38       0.90      -1.08    -398.52       0.00       0.00       4.74   63454.89
2000 01 01 01 31 00 000       -1.17       0.17      -1.57    -457.52       0.00       0.00       5.22   88262.80
2000 01 01 01 32 00 000       -2.16       0.51      -1.24    -458.54       0.00       0.00       5.31   77100.75
2000 01 01 01 33 00 000       -1.75       1.47      -0.75    -440.06       0.00       0.00       4.26   95839.00
2000 01 01 01 34 00 000       -1.36       0.41      -1.52    -452.95       0.00       0.00       5.56   92055.00
2000 01 01 01 35 00 000       -2.54       0.46      -1.20    -454.66       0.00       0.00       5.09   75811.29
2000 01 01 01 36 00 000       -1.66       1.18      -0.42    -431.59       0.00       0.00       4.11   92337.90
2000 01 01 01 37 00 000       -1.55       0.42      -1.36    -448.51       0.00       0.00       5.65   84069.50
2000 01 01 01 38 00 000       -2.71       0.43      -0.89    -456.90       0.00       0.00       5.79   78871.12
2000 01 01 01 39 00 000       -1.63       1.37      -1.61    -437.90       0.00       0.00       4.68   78916.33
2000 01 01 01 40 00 000       -2.78       0.84      -1.46    -469.46       0.00       0.00       5.86   80183.86
2000 01 01 01 41 00 000       -1.59       1.82      -0.62    -421.68       0.00       0.00       4.81   80351.82
2000 01 01 01 42 00 000       -1.28       0.64      -0.80    -453.60       0.00       0.00       5.34   83860.36
2000 01 01 01 43 00 000       -2.60       0.57      -0.98    -469.31       0.00       0.00       5.74   82449.33
2000 01 01 01 44 00 000       -1.21       1.91      -0.42    -431.13       0.00       0.00       4.69   99751.91
2000 01 01 01 45 00 000       -0.90       0.96      -1.14    -443.46       0.00       0.00       4.90   69899.36
2000 01 01 01 46 00 000       -2.12       1.26      -0.86    -456.52       0.00       0.00       5.79   74496.25
2000 01 01 01 47 00 000       -0.82       2.18      -0.26    -413.09       0.00       0.00       4.24   70834.11
2000 01 01 01 48 00 000       -0.61       0.87      -0.38    -441.73       0.00       0.00       5.16   70979.07
2000 01 01 01 49 00 000       -2.26       1.60      -1.04    -456.40       0.00       0.00       5.81   72545.43
2000 01 01 01 50 00 000       -0.58       2.14       0.94    -432.12       0.00       0.00       4.76   76477.82
2000 01 01 01 51 00 000       -0.69       1.13      -0.23    -454.55       0.00       0.00       5.56   72179.67
2000 01 01 01 52 00 000       -2.33       1.54      -0.93    -457.09       0.00       0.00       5.83   78415.38
2000 01 01 01 53 00 000       -0.51       2.19       0.43    -431.85       0.00       0.00       4.87   72919.82
2000 01 01 01 54 00 000       -1.66       0.76      -1.83    -475.23       0.00       0.00       6.24   75265.00
2000 01 01 01 55 00 000       -0.50       2.07      -0.03    -437.11       0.00       0.00       4.60   75307.30
2000 01 01 01 56 00 000       -0.55       1.54      -1.91    -456.17       0.00       0.00       5.41   79591.33
2000 01 01 01 57 00 000       -2.17       1.65      -2.50    -465.10       0.00       0.00       5.58   82932.00
2000 01 01 01 58 00 000       -1.15       2.17      -0.19    -427.24       0.00       0.00       4.95   87870.67
2000 01 01 01 59 00 000       -0.79       1.33      -1.60    -457.37       0.00       0.00       5.28   81472.38
2000 01 01 02 00 00 000       -2.24       1.07      -2.59    -468.83       0.00       0.00       4.56  102983.43
2000 01 01 02 01 00 000       -0.45       1.23       1.15    -425.61       0.00       0.00       4.96   70458.10
2000 01 01 02 02 00 000       -0.42       0.58      -0.57    -451.04       0.00       0.00       5.50   71843.30
2000 01 01 02 03 00 000       -2.24       1.06      -2.22    -508.30       0.00       0.00       5.28  101560.40
2000 01 01 02 04 00 000       -0.15       1.91       1.07    -437.86       0.00       0.00       4.76   93452.70
2000 01 01 02 05 00 000       -0.28       1.61      -1.15    -470.48       0.00       0.00       5.13   94048.31
2000 01 01 02 06 00 000       -2.06       1.25      -1.83    -422.56       0.00       0.00       6.07   68907.83
2000 01 01 02 07 00 000       -0.36       2.18       0.83    -432.10       0.00       0.00       4.98   68847.90
2000 01 01 02 08 00 000       -0.64       1.52      -1.17    -455.43       0.00       0.00       5.20   74928.80
2000 01 01 02 09 00 000       -2.91       2.84       3.32    -384.95       0.00       0.00       3.29   72137.50
2000 01 01 02 10 00 000       -0.45       1.49      -1.34    -455.03       0.00       0.00       5.38   77172.13
2000 01 01 02 11 00 000       -2.11       1.46      -2.01    -433.23       0.00       0.00       5.70   55661.80
2000 01 01 02 12 00 000       -0.06       1.98       0.28    -425.35       0.00       0.00       4.46   70682.36
2000 01 01 02 13 00 000       -0.39       1.53      -1.11    -454.61       0.00       0.00       5.41   78203.67
2000 01 01 02 14 00 000       -2.04       1.64      -1.44    -465.73       0.00       0.00       5.25   59782.33
2000 01 01 02 15 00 000       -0.22       2.06      -0.08    -426.94       0.00       0.00       4.87   61619.42
2000 01 01 02 16 00 000       -0.45       1.46      -1.22    -457.85       0.00       0.00       5.32   82582.86
2000 01 01 02 17 00 000       -1.77       1.39      -0.85    -441.55       0.00       0.00       4.55  102630.17
2000 01 01 02 18 00 000       -0.60       1.92      -0.53    -428.23       0.00       0.00       4.84   61599.33
2000 01 01 02 19 00 000       -0.59       1.22      -1.34    -444.69       0.00       0.00       5.63   83252.50
2000 01 01 02 20 00 000       -1.60       2.19      -1.29    -451.73       0.00       0.00       5.70   63018.86
2000 01 01 02 21 00 000       -0.48       1.74      -0.36    -429.17       0.00       0.00       4.46   60621.30
2000 01 01 02 22 00 000       -0.41       1.23      -0.58    -460.86       0.00       0.00       4.99   90127.43
2000 01 01 02 23 00 000       -1.30       2.28      -0.83    -454.68       0.00       0.00       5.66   90903.62
2000 01 01 02 24 00 000       -0.19       0.89      -0.21    -448.30       0.00       0.00       4.89   88431.75
2000 01 01 02 25 00 000       -1.73       2.33      -0.79    -452.30       0.00       0.00       5.56   93547.75
2000 01 01 02 26 00 000       -0.57       1.15      -0.06    -432.76       0.00       0.00       5.20   72310.22
2000 01 01 02 27 00 000       -0.76       1.03      -1.07    -454.17       0.00       0.00       5.16   88477.15
2000 01 01 02 28 00 000       -1.95       1.87      -1.40    -467.50       0.00       0.00       5.32   94987.14
2000 01 01 02 29 00 000       -0.71       1.81      -0.04    -433.17       0.00       0.00       4.80   85435.55
2000 01 01 02 30 00 000       -1.29       0.98      -1.54    -436.23       0.00       0.00       5.10   79230.00
2000 01 01 02 31 00 000       -2.04       1.37      -1.41    -453.67       0.00       0.00       5.83   94555.62
2000 01 01 02 32 00 000       -0.99       1.73       0.14    -432.81       0.00       0.00       4.56   90903.82
2000 01 01 02 33 00 000       -1.54       0.97      -1.69    -451.11       0.00       0.00       4.94  105986.53
2000 01 01 02 34 00 000       -2.12       1.84      -1.39    -468.29       0.00       0.00       4.77  113273.00
2000 01 01 02 35 00 000       -1.38       1.58       0.74    -429.32       0.00       0.00       4.37   83109.00
2000 01 01 02 36 00 000       -1.90       0.46      -1.80    -444.62       0.00       0.00       5.37   88284.50
2000 01 01 02 37 00 000       -2.21       1.01      -1.60    -459.09       0.00       0.00       5.62   77848.50
2000 01 01 02 38 00 000       -1.61       1.53      -0.21    -425.92       0.00       0.00       4.60  100733.82
2000 01 01 02 39 00 000       -2.74      -0.23      -2.37    -498.76       0.00       0.00       4.66  102754.00
2000 01 01 02 40 00 000       -1.65       1.61      -0.30    -421.69       0.00       0.00       4.38   97783.11
2000 01 01 02 41 00 000       -2.30       0.56      -1.08    -434.45       0.00       0.00       4.56  100918.85
2000 01 01 02 42 00 000       -2.56       0.52      -0.76    -452.28       0.00       0.00       5.83   87808.00
2000 01 01 02 43 00 000       -1.82       1.61      -0.20    -418.15       0.00       0.00       5.17   91811.92
2000 01 01 02 44 00 000       -1.89       0.79      -1.46    -449.24       0.00       0.00       5.13  108726.71
2000 01 01 02 45 00 000       -2.00       0.86      -0.45    -453.69       0.00       0.00       5.38   88092.38
2000 01 01 02 46 00 000       -1.67       1.69      -0.73    -415.83       0.00       0.00       4.74   81806.50
2000 01 01 02 47 00 000       -1.50       0.78      -1.33    -445.69       0.00       0.00       5.04   93922.07
2000 01 01 02 48 00 000       -1.86       0.86      -0.33    -438.60       0.00       0.00       6.50   66944.67
2000 01 01 02 49 00 000       -1.38       1.80      -0.01    -434.26       0.00       0.00       5.23   95348.89
2000 01 01 02 50 00 000       -1.64       0.88      -1.11    -460.45       0.00       0.00       4.63   94644.23
2000 01 01 02 51 00 000       -2.08       1.10      -1.49    -452.62       0.00       0.00       5.42   79773.62
2000 01 01 02 52 00 000       -0.93       2.62      -0.65    -431.61       0.00       0.00       4.72   80900.55
2000 01 01 02 53 00 000       -1.74       1.03      -1.11    -442.05       0.00       0.00       5.24   78929.17
2000 01 01 02 54 00 000       -3.12       5.26       0.37    -400.35       0.00       0.00       5.27   59628.50
2000 01 01 02 55 00 000       -2.02       0.89      -1.30    -455.30       0.00       0.00       5.27  100554.86
2000 01 01 02 56 00 000       -2.43       1.51      -0.99    -478.75       0.00       0.00       5.80   81325.33
2000 01 01 02 57 00 000       -1.99       1.03      -1.80    -425.27       0.00       0.00       4.53   90984.56
2000 01 01 02 58 00 000       -2.26       1.25      -1.05    -438.06       0.00       0.00       5.40   87271.31
2000 01 01 02 59 00 000       -2.51       1.50      -1.10    -452.88       0.00       0.00       5.61   72705.88
2000 01 01 03 00 00 000       -2.21       2.25      -0.85    -428.99       0.00       0.00       5.51  100999.30
2000 01 01 03 01 00 000       -2.02       0.82      -1.28    -451.49       0.00       0.00       5.22   92292.73
2000 01 01 03 02 00 000       -2.61       0.91      -1.58    -455.10       0.00       0.00       5.42   88197.14
2000 01 01 03 03 00 000       -2.15       2.28      -0.55    -429.25       0.00       0.00       5.14   87834.55
2000 01 01 03 04 00 000       -2.08       1.14      -1.55    -451.94       0.00       0.00       5.66   98211.21
2000 01 01 03 05 00 000       -2.43       0.98      -2.15    -456.20       0.00       0.00       5.54   88755.38
2000 01 01 03 06 00 000       -1.69       2.80      -0.87    -418.41       0.00       0.00       6.06   98008.33
2000 01 01 03 07 00 000       -1.78       0.96      -1.76    -429.38       0.00       0.00       5.28   71973.83
2000 01 01 03 08 00 000       -2.32       1.25      -1.94    -456.21       0.00       0.00       5.25   89530.38
2000 01 01 03 09 00 000       -1.01       1.56      -0.52    -424.21       0.00       0.00       6.69   93114.71
2000 01 01 03 10 00 000       -2.16       1.43      -1.75    -457.14       0.00       0.00       5.33   85557.12
2000 01 01 03 11 00 000       -1.16       2.99      -0.26    -420.65       0.00       0.00       6.13   73847.27
2000 01 01 03 12 00 000       -1.23       2.25      -0.74    -444.34       0.00       0.00       5.85   83260.38
2000 01 01 03 13 00 000       -1.85       2.02      -1.78    -464.13       0.00       0.00       6.08   85544.00
2000 01 01 03 14 00 000       -1.54       3.17       0.12    -432.69       0.00       0.00       4.63   75064.44
2000 01 01 03 15 00 000       -1.22       1.94      -1.26    -450.08       0.00       0.00       5.34   83572.93
2000 01 01 03 16 00 000       -1.69       2.12      -2.55    -456.79       0.00       0.00       5.34   79695.50
2000 01 01 03 17 00 000       -1.65       3.09      -0.39    -424.00       0.00       0.00       5.58   77852.92
2000 01 01 03 18 00 000       -1.69       1.50      -1.49    -454.15       0.00       0.00       5.08   88320.07
2000 01 01 03 19 00 000       -1.72       2.01      -2.34    -484.10       0.00       0.00       4.71  102266.67
2000 01 01 03 20 00 000       -2.18       1.49      -1.12    -429.82       0.00       0.00       6.20   98053.30
2000 01 01 03 21 00 000       -1.61       0.32      -2.36    -453.09       0.00       0.00       5.92   99122.07
2000 01 01 03 22 00 000       -1.79       1.63      -2.32    -455.71       0.00       0.00       5.66   82591.88
2000 01 01 03 23 00 000       -2.19       1.73      -1.30    -425.09       0.00       0.00       4.97   83932.90
2000 01 01 03 24 00 000       -2.07       1.15      -3.37    -490.37       0.00       0.00       5.53  110406.00
2000 01 01 03 25 00 000       -2.18       1.95      -1.00    -426.03       0.00       0.00       4.94   94348.80
2000 01 01 03 26 00 000       -1.97       1.09      -2.36    -448.77       0.00       0.00       4.96   79242.45
2000 01 01 03 27 00 000       -1.97       2.47      -2.76    -510.18       0.00       0.00       5.09   97520.60
2000 01 01 03 28 00 000       -1.90       1.96      -1.39    -405.72       0.00       0.00       5.89   64570.80
2000 01 01 03 29 00 000       -1.86       1.03      -2.41    -438.05       0.00       0.00       5.45   74376.46
2000 01 01 03 30 00 000       -1.88       2.66      -2.86    -487.47       0.00       0.00       4.58   93413.83
2000 01 01 03 31 00 000       -2.19       2.17      -1.12    -403.42       0.00       0.00       5.29   58346.33
2000 01 01 03 32 00 000       -2.29       0.83      -2.40    -436.48       0.00       0.00       5.15   69162.69
