File created on 2022-02-27T14:48:37.206329
#COOR
GSM


#START
2015 03 14 00 00 00 000       -1.72       2.56       6.55    -363.00     -33.61     -33.18       8.51       0.00
2015 03 14 00 01 00 000       -1.79       2.09       6.65    -363.30     -33.66     -32.72       8.64       0.00
2015 03 14 00 02 00 000       -1.49       2.50       6.66    -364.60     -28.57     -34.20       8.12       0.00
2015 03 14 00 03 00 000       -1.45       3.69       6.18    -364.50     -32.60     -32.73       8.13       0.00
2015 03 14 00 04 00 000       -1.87       3.18       6.31    -364.10     -34.79     -32.82       8.16       0.00
2015 03 14 00 05 00 000       -1.97       3.02       6.31    -363.00     -31.92     -33.23       8.35       0.00
2015 03 14 00 06 00 000       -2.00       2.46       6.53    -363.50     -30.62     -34.53       8.28       0.00
2015 03 14 00 07 00 000       -2.67       2.02       6.42    -361.60     -32.48     -36.65       9.54       0.00
2015 03 14 00 08 00 000       -2.41       2.84       6.25    -360.50     -30.01     -34.94       8.68       0.00
2015 03 14 00 09 00 000       -1.90       3.29       6.18    -362.00     -33.02     -35.43       9.11       0.00
2015 03 14 00 10 00 000       -2.19       3.11       6.08    -361.40     -34.22     -33.93       8.84       0.00
2015 03 14 00 11 00 000       -2.19       2.66       6.16    -361.30     -33.37     -35.63       8.87       0.00
2015 03 14 00 12 00 000       -2.85       2.30       6.06    -361.30     -31.19     -35.53       8.63       0.00
2015 03 14 00 13 00 000       -3.50       2.22       5.66    -358.50     -28.23     -32.92       9.13       0.00
2015 03 14 00 14 00 000       -3.11       2.40       5.91    -359.50     -29.13     -33.37       9.21       0.00
2015 03 14 00 15 00 000       -2.67       2.55       6.02    -360.20     -28.90     -32.62       9.12       0.00
2015 03 14 00 16 00 000       -2.47       2.71       6.13    -360.40     -29.93     -34.92       8.95       0.00
2015 03 14 00 17 00 000       -2.26       2.98       6.19    -359.90     -32.19     -33.62       8.51       0.00
2015 03 14 00 18 00 000       -2.18       3.17       6.19    -359.70     -32.52     -33.46       8.41       0.00
2015 03 14 00 19 00 000       -2.09       3.13       6.21    -360.50     -32.09     -33.41       8.05       0.00
2015 03 14 00 20 00 000       -2.04       3.40       6.06    -360.50     -32.10     -33.40       8.05       0.00
2015 03 14 00 21 00 000       -2.07       3.25       6.09    -360.35     -33.47     -33.49       8.19       0.00
2015 03 14 00 22 00 000       -2.23       3.32       6.04    -360.20     -34.84     -33.57       8.33       0.00
2015 03 14 00 23 00 000       -2.03       3.42       6.07    -360.00     -34.95     -33.40       8.68       0.00
2015 03 14 00 24 00 000       -1.69       3.75       5.80    -360.40     -35.30     -33.60       8.78       0.00
2015 03 14 00 25 00 000       -1.09       4.27       5.28    -363.10     -39.84     -33.15       9.28       0.00
2015 03 14 00 26 00 000       -0.70       4.42       5.17    -363.10     -41.09     -32.50       9.06       0.00
2015 03 14 00 27 00 000       -0.62       4.65       5.07    -363.70     -41.02     -32.80       9.02       0.00
2015 03 14 00 28 00 000       -1.15       4.42       5.23    -365.20     -40.85     -33.62       8.93       0.00
2015 03 14 00 29 00 000       -1.12       4.18       5.39    -362.60     -41.28     -33.52       9.81       0.00
2015 03 14 00 30 00 000       -1.50       3.57       5.74    -362.60     -41.29     -33.51       9.81       0.00
2015 03 14 00 31 00 000       -1.15       4.19       5.35    -363.90     -39.52     -34.62       9.53       0.00
2015 03 14 00 32 00 000       -1.15       4.31       5.33    -363.50     -40.42     -33.76       9.63       0.00
2015 03 14 00 33 00 000       -1.04       4.24       5.43    -364.30     -39.79     -33.46       9.29       0.00
2015 03 14 00 34 00 000       -0.86       4.14       5.53    -364.20     -40.61     -33.84       9.21       0.00
2015 03 14 00 35 00 000       -0.88       4.13       5.53    -364.50     -41.87     -33.91       9.19       0.00
2015 03 14 00 36 00 000       -0.60       4.00       5.59    -365.10     -41.61     -33.96       9.15       0.00
2015 03 14 00 37 00 000       -0.90       3.33       6.03    -364.50     -39.18     -35.01       9.18       0.00
2015 03 14 00 38 00 000       -1.12       3.47       5.95    -364.00     -38.56     -35.43       9.23       0.00
2015 03 14 00 39 00 000       -0.88       4.18       5.48    -361.40     -37.82     -35.30       9.76       0.00
2015 03 14 00 40 00 000       -0.70       4.27       5.46    -364.40     -41.65     -32.97       9.16       0.00
2015 03 14 00 41 00 000       -0.64       4.24       5.51    -363.40     -41.13     -33.80       9.17       0.00
2015 03 14 00 42 00 000       -0.54       4.16       5.58    -365.70     -42.32     -34.53       9.01       0.00
2015 03 14 00 43 00 000       -0.65       3.88       5.72    -363.60     -39.78     -34.45       9.55       0.00
2015 03 14 00 44 00 000       -0.98       4.20       5.40    -363.90     -37.01     -35.30       9.27       0.00
2015 03 14 00 45 00 000       -0.94       4.55       5.14    -362.70     -41.16     -33.39       9.28       0.00
2015 03 14 00 46 00 000       -1.20       4.66       4.94    -362.60     -40.83     -33.16       9.30       0.00
2015 03 14 00 47 00 000       -0.86       4.10       5.44    -362.00     -39.01     -32.12       9.56       0.00
2015 03 14 00 48 00 000       -0.81       3.44       5.88    -362.20     -38.34     -32.63       9.91       0.00
2015 03 14 00 49 00 000        0.07       4.06       5.50    -363.90     -35.33     -36.51       9.28       0.00
2015 03 14 00 50 00 000        0.51       4.26       5.44    -367.50     -38.97     -33.34       9.30       0.00
2015 03 14 00 51 00 000        0.45       4.38       5.35    -368.30     -40.76     -32.55       8.92       0.00
2015 03 14 00 52 00 000        0.45       4.32       5.36    -367.80     -39.18     -32.25       9.20       0.00
2015 03 14 00 53 00 000        0.50       4.26       5.44    -367.50     -38.68     -32.86       8.71       0.00
2015 03 14 00 54 00 000        0.25       4.51       5.18    -367.50     -38.76     -33.12       8.50       0.00
2015 03 14 00 55 00 000       -0.38       5.18       4.39    -365.00     -39.36     -31.30       8.86       0.00
2015 03 14 00 56 00 000       -0.55       4.66       4.96    -362.50     -39.96     -29.48       9.22       0.00
2015 03 14 00 57 00 000       -0.26       4.32       5.22    -364.00     -40.18     -29.71       9.23       0.00
2015 03 14 00 58 00 000       -0.65       4.94       4.65    -365.10     -40.51     -30.13       9.23       0.00
2015 03 14 00 59 00 000       -0.99       4.50       4.90    -363.30     -40.03     -30.52       9.20       0.00
2015 03 14 01 00 00 000       -0.86       3.94       5.52    -361.60     -36.37     -31.88       9.31       0.00
2015 03 14 01 01 00 000       -0.64       4.07       5.43    -362.40     -36.44     -32.72       9.61       0.00
2015 03 14 01 02 00 000       -0.94       4.35       5.19    -363.10     -37.72     -32.55       9.74       0.00
2015 03 14 01 03 00 000       -0.85       4.18       5.36    -361.90     -38.56     -30.82       8.86       0.00
2015 03 14 01 04 00 000       -0.77       3.94       5.58    -361.90     -38.57     -30.80       8.86       0.00
2015 03 14 01 05 00 000       -0.86       4.12       5.38    -360.90     -37.83     -32.20       9.31       0.00
2015 03 14 01 06 00 000       -0.79       3.40       5.86    -360.00     -37.82     -32.41       9.42       0.00
2015 03 14 01 07 00 000       -0.69       3.36       5.87    -361.40     -36.11     -33.68       9.36       0.00
2015 03 14 01 08 00 000        0.25       4.11       5.39    -362.10     -36.79     -33.73       9.98       0.00
2015 03 14 01 09 00 000        0.03       3.99       5.57    -368.40     -40.32     -31.42       9.39       0.00
2015 03 14 01 10 00 000       -0.15       3.83       5.67    -363.40     -38.55     -33.36       9.84       0.00
2015 03 14 01 11 00 000       -0.98       3.60       5.62    -361.90     -36.80     -33.55       9.11       0.00
2015 03 14 01 12 00 000       -0.91       3.26       5.85    -360.70     -36.75     -34.20       9.66       0.00
2015 03 14 01 13 00 000       -0.37       4.11       5.36    -362.00     -36.37     -34.06       9.30       0.00
2015 03 14 01 14 00 000       -0.21       4.28       5.27    -362.40     -37.09     -33.66       9.19       0.00
2015 03 14 01 15 00 000       -0.85       3.99       5.46    -362.00     -39.43     -32.72       9.38       0.00
2015 03 14 01 16 00 000       -0.55       3.66       5.71    -361.10     -37.82     -33.24       9.88       0.00
2015 03 14 01 17 00 000       -0.64       3.60       5.68    -362.10     -38.94     -34.49       9.85       0.00
2015 03 14 01 18 00 000       -0.96       3.45       5.73    -360.60     -36.59     -34.32       9.99       0.00
2015 03 14 01 19 00 000       -0.64       3.31       5.83    -360.70     -35.95     -34.61       9.91       0.00
