File created by python code using write_sme_file

Data downloaded from OMNIWeb and written in SME format

============================================================
<year>  <month>  <day>  <hour>  <min>  <sec>  <SME (nT)>  <SML (nT)>  <SMU (nT)>
2020  01  02  00  00  00    25.00    -1.00    24.00
2020  01  02  00  01  00    25.00    -1.00    24.00
2020  01  02  00  02  00    26.00    -3.00    23.00
2020  01  02  00  03  00    22.00    -1.00    21.00
2020  01  02  00  04  00    23.00    -1.00    22.00
2020  01  02  00  05  00    22.00    -2.00    20.00
2020  01  02  00  06  00    21.00    -1.00    20.00
2020  01  02  00  07  00    20.00     0.00    20.00
2020  01  02  00  08  00    20.00     0.00    20.00
2020  01  02  00  09  00    24.00    -1.00    23.00
2020  01  02  00  10  00    20.00    -1.00    19.00
2020  01  02  00  11  00    22.00    -2.00    20.00
2020  01  02  00  12  00    20.00    -2.00    18.00
2020  01  02  00  13  00    24.00    -4.00    20.00
2020  01  02  00  14  00    28.00    -6.00    22.00
2020  01  02  00  15  00    28.00    -6.00    22.00
2020  01  02  00  16  00    28.00    -6.00    22.00
2020  01  02  00  17  00    28.00    -6.00    22.00
2020  01  02  00  18  00    29.00    -6.00    23.00
2020  01  02  00  19  00    29.00    -5.00    24.00
2020  01  02  00  20  00    29.00    -5.00    24.00
2020  01  02  00  21  00    30.00    -5.00    25.00
2020  01  02  00  22  00    29.00    -3.00    26.00
2020  01  02  00  23  00    35.00    -8.00    27.00
2020  01  02  00  24  00    38.00   -10.00    28.00
2020  01  02  00  25  00    37.00    -9.00    28.00
2020  01  02  00  26  00    35.00    -8.00    27.00
2020  01  02  00  27  00    32.00    -5.00    27.00
2020  01  02  00  28  00    29.00    -2.00    27.00
2020  01  02  00  29  00    28.00    -1.00    27.00
2020  01  02  00  30  00    29.00    -2.00    27.00
2020  01  02  00  31  00    29.00    -1.00    28.00
2020  01  02  00  32  00    29.00    -1.00    28.00
2020  01  02  00  33  00    29.00    -1.00    28.00
2020  01  02  00  34  00    29.00    -1.00    28.00
2020  01  02  00  35  00    27.00     0.00    27.00
2020  01  02  00  36  00    27.00     0.00    27.00
2020  01  02  00  37  00    31.00    -4.00    27.00
2020  01  02  00  38  00    33.00    -6.00    27.00
2020  01  02  00  39  00    34.00    -7.00    27.00
2020  01  02  00  40  00    34.00    -6.00    28.00
2020  01  02  00  41  00    31.00    -3.00    28.00
2020  01  02  00  42  00    28.00     0.00    28.00
2020  01  02  00  43  00    28.00     0.00    28.00
2020  01  02  00  44  00    28.00     0.00    28.00
2020  01  02  00  45  00    27.00     0.00    27.00
2020  01  02  00  46  00    28.00    -1.00    27.00
2020  01  02  00  47  00    28.00    -1.00    27.00
2020  01  02  00  48  00    27.00    -1.00    26.00
2020  01  02  00  49  00    27.00    -1.00    26.00
2020  01  02  00  50  00    28.00    -1.00    27.00
2020  01  02  00  51  00    28.00    -1.00    27.00
2020  01  02  00  52  00    28.00    -1.00    27.00
2020  01  02  00  53  00    29.00    -1.00    28.00
2020  01  02  00  54  00    30.00    -2.00    28.00
2020  01  02  00  55  00    31.00    -3.00    28.00
2020  01  02  00  56  00    30.00    -2.00    28.00
2020  01  02  00  58  00    27.00    -1.00    26.00
2020  01  02  01  00  00    28.00    -1.00    27.00
2020  01  02  01  02  00    27.00    -1.00    26.00
2020  01  02  01  03  00    27.00    -1.00    26.00
