File created on 2025-11-10T15:57:27.282644
Source data: /home/dwelling/win_home/Downloads/ac_h0s_swe_20171217000054_20171218235950_cdaweb.cdf
Ballistically propagted from L1 to upstream BATS-R-US boundary

File created on 2025-11-10 15:57:27.282548#COOR
GSM

#SATELLITEXYZ
202.184
  0.000
  0.000


#START
2017 12 17 00 59 43 047       -3.86       7.30      -2.01    -361.81     -34.13      -0.67      20.33   25800.39
2017 12 17 00 59 51 067       -3.67       7.30      -2.08    -362.62     -34.16      -0.11      20.16   26579.27
2017 12 17 00 59 59 120       -3.48       7.38      -2.26    -363.43     -34.20       0.45      19.99   27358.14
2017 12 17 01 00 02 655       -3.31       7.43      -2.44    -363.78     -34.21       0.69      19.92   27698.90
2017 12 17 01 00 07 211       -3.08       7.49      -2.66    -364.24     -34.23       1.01      19.82   28137.02
2017 12 17 01 00 15 334       -3.17       7.30      -2.84    -365.05     -34.27       1.57      19.66   28915.89
2017 12 17 01 00 23 495       -3.35       7.21      -2.82    -365.86     -34.30       2.13      19.49   29694.77
2017 12 17 01 00 31 688       -3.24       7.20      -2.67    -366.67     -34.34       2.69      19.32   30473.64
2017 12 17 01 00 35 285       -3.32       7.16      -2.79    -367.03     -34.35       2.94      19.25   30814.40
2017 12 17 01 00 45 727       -3.43       7.12      -2.95    -366.88     -34.23       2.69      19.29   30701.23
2017 12 17 01 01 04 292       -3.61       6.99      -2.62    -366.61     -34.02       2.23      19.36   30500.03
2017 12 17 01 01 22 863       -3.99       6.91      -2.79    -366.34     -33.80       1.78      19.43   30298.82
2017 12 17 01 01 41 436       -3.89       6.93      -2.58    -366.07     -33.58       1.33      19.50   30097.62
2017 12 17 01 01 49 563       -3.70       6.94      -2.69    -365.96     -33.49       1.13      19.53   30009.60
2017 12 17 01 01 53 877       -3.46       6.96      -2.84    -366.44     -33.21       1.49      19.46   30324.35
2017 12 17 01 02 01 573       -3.13       7.05      -2.81    -367.31     -32.71       2.13      19.32   30883.90
2017 12 17 01 02 09 311       -2.91       7.11      -2.85    -368.17     -32.22       2.78      19.19   31443.45
2017 12 17 01 02 17 085       -3.24       6.93      -3.02    -369.04     -31.72       3.42      19.05   32003.00
2017 12 17 01 02 20 498       -3.14       6.88      -3.02    -369.42     -31.51       3.70      18.99   32247.80
2017 12 17 01 02 36 274       -3.02       6.82      -3.03    -368.70     -31.31       3.44      19.11   32065.49
2017 12 17 01 03 04 388       -3.33       6.64      -3.28    -367.43     -30.98       2.98      19.31   31741.39
2017 12 17 01 03 32 586       -3.54       6.62      -3.05    -366.16     -30.64       2.52      19.51   31417.29
2017 12 17 01 04 00 866       -3.93       6.72      -2.64    -364.89     -30.30       2.06      19.72   31093.19
2017 12 17 01 04 13 265       -3.97       6.85      -2.53    -364.33     -30.15       1.86      19.81   30951.40
2017 12 17 01 04 23 130       -4.03       7.02      -2.39    -364.24     -30.48       1.98      19.70   30773.82
2017 12 17 01 04 40 670       -3.94       7.08      -2.41    -364.09     -31.06       2.18      19.52   30458.12
2017 12 17 01 04 58 212       -3.84       7.05      -2.70    -363.93     -31.65       2.39      19.34   30142.42
2017 12 17 01 05 15 752       -3.29       7.07      -2.76    -363.77     -32.23       2.60      19.16   29826.72
2017 12 17 01 05 23 427       -3.54       6.93      -2.83    -363.70     -32.49       2.69      19.08   29688.60
2017 12 17 01 05 28 542       -3.87       6.75      -2.93    -364.10     -32.60       2.91      19.01   29753.44
2017 12 17 01 05 37 658       -3.44       7.07      -2.73    -364.81     -32.80       3.32      18.90   29868.72
2017 12 17 01 05 46 801       -3.21       6.99      -2.81    -365.51     -33.01       3.72      18.78   29983.99
2017 12 17 01 05 55 968       -3.09       7.09      -2.96    -366.22     -33.21       4.12      18.66   30099.27
2017 12 17 01 05 59 987       -3.10       7.08      -3.00    -366.53     -33.30       4.30      18.61   30149.70
2017 12 17 01 06 09 297       -3.12       7.07      -3.05    -366.50     -33.23       4.05      18.85   30271.34
2017 12 17 01 06 25 849       -3.07       7.01      -3.07    -366.44     -33.10       3.61      19.27   30487.59
2017 12 17 01 06 42 402       -2.94       6.97      -3.19    -366.39     -32.97       3.18      19.69   30703.84
2017 12 17 01 06 58 952       -2.89       6.98      -3.49    -366.33     -32.84       2.74      20.10   30920.09
2017 12 17 01 07 06 193       -2.98       6.94      -3.49    -366.30     -32.79       2.55      20.29   31014.70
2017 12 17 01 07 17 090       -3.10       6.88      -3.48    -366.11     -32.85       2.44      20.15   30797.69
2017 12 17 01 07 36 469       -3.07       6.80      -3.60    -365.76     -32.95       2.25      19.92   30411.89
2017 12 17 01 07 55 851       -3.15       6.98      -3.25    -365.40     -33.06       2.06      19.68   30026.09
2017 12 17 01 08 15 243       -3.29       7.15      -2.69    -365.05     -33.16       1.87      19.44   29640.29
2017 12 17 01 08 23 728       -3.24       7.16      -2.74    -364.90     -33.21       1.79      19.33   29471.50
2017 12 17 01 08 28 263       -3.18       7.16      -2.81    -365.36     -33.18       2.42      19.25   29570.57
2017 12 17 01 08 36 356       -2.97       7.20      -3.10    -366.18     -33.13       3.55      19.10   29746.70
2017 12 17 01 08 44 481       -1.45       6.54      -4.91    -367.00     -33.07       4.68      18.95   29922.82
2017 12 17 01 08 52 644       -1.66       6.58      -4.62    -367.82     -33.02       5.80      18.79   30098.95
2017 12 17 01 08 56 226       -1.61       6.48      -4.73    -368.18     -33.00       6.30      18.73   30176.00
2017 12 17 01 09 05 486       -1.55       6.35      -4.87    -368.15     -32.66       6.00      18.87   30562.34
2017 12 17 01 09 21 953       -0.92       6.47      -5.07    -368.10     -32.06       5.47      19.12   31249.16
2017 12 17 01 09 38 417       -0.92       6.61      -4.98    -368.05     -31.47       4.95      19.36   31935.99
2017 12 17 01 09 54 884       -0.78       6.64      -5.44    -368.00     -30.87       4.42      19.61   32622.81
2017 12 17 01 10 02 087       -0.81       6.61      -5.47    -367.98     -30.60       4.19      19.72   32923.30
2017 12 17 01 10 10 265       -0.85       6.57      -5.51    -368.07     -30.73       4.19      19.66   32804.96
2017 12 17 01 10 24 807       -0.68       6.58      -5.42    -368.22     -30.95       4.19      19.56   32594.59
2017 12 17 01 10 39 347       -1.31       6.51      -4.96    -368.38     -31.18       4.18      19.46   32384.21
2017 12 17 01 10 53 890       -2.40       6.59      -4.34    -368.53     -31.40       4.18      19.36   32173.84
2017 12 17 01 11 00 253       -2.45       6.63      -4.26    -368.60     -31.49       4.17      19.32   32081.80
2017 12 17 01 11 08 433       -2.52       6.67      -4.15    -368.68     -31.62       4.17      19.26   31963.46
2017 12 17 01 11 22 979       -1.85       6.64      -4.24    -368.83     -31.84       4.17      19.16   31753.09
2017 12 17 01 11 37 524       -1.84       6.86      -3.98    -368.99     -32.07       4.16      19.06   31542.71
2017 12 17 01 11 52 073       -2.24       6.68      -3.91    -369.14     -32.29       4.16      18.96   31332.34
2017 12 17 01 11 58 437       -2.22       6.65      -3.98    -369.21     -32.38       4.15      18.91   31240.30
2017 12 17 01 12 07 822       -2.19       6.61      -4.06    -369.17     -32.19       4.62      18.83   31321.09
2017 12 17 01 12 24 509       -2.05       6.64      -4.59    -369.09     -31.86       5.45      18.69   31464.71
2017 12 17 01 12 41 193       -2.28       6.65      -4.57    -369.02     -31.52       6.28      18.54   31608.34
2017 12 17 01 12 57 881       -2.18       6.54      -4.57    -368.95     -31.18       7.12      18.39   31751.96
2017 12 17 01 13 05 180       -2.13       6.58      -4.50    -368.92     -31.03       7.48      18.33   31814.80
2017 12 17 01 13 11 138       -2.07       6.62      -4.42    -369.24     -31.30       7.58      18.32   31952.37
2017 12 17 01 13 21 744       -1.77       6.48      -4.68    -369.81     -31.77       7.77      18.29   32196.95
2017 12 17 01 13 32 364       -2.08       6.19      -4.38    -370.38     -32.24       7.96      18.27   32441.52
2017 12 17 01 13 43 004       -2.02       6.54      -4.12    -370.95     -32.72       8.14      18.25   32686.10
2017 12 17 01 13 47 663       -1.80       6.37      -4.34    -371.20     -32.93       8.23      18.24   32793.10
2017 12 17 01 13 57 550       -1.52       6.17      -4.62    -371.11     -32.73       8.47      18.28   32902.38
2017 12 17 01 14 15 130       -1.50       6.12      -4.50    -370.94     -32.37       8.90      18.36   33096.66
2017 12 17 01 14 32 709       -1.85       6.20      -4.31    -370.77     -32.02       9.33      18.43   33290.93
2017 12 17 01 14 50 292       -2.27       6.20      -4.34    -370.60     -31.66       9.76      18.51   33485.20
2017 12 17 01 14 57 984       -2.57       6.16      -4.19    -370.53     -31.51       9.95      18.54   33570.20
2017 12 17 01 15 15 784       -2.96       6.11      -4.00    -369.59     -31.61       8.20      19.22   33662.70
2017 12 17 01 15 47 543       -3.95       6.34      -2.68    -367.93     -31.78       5.11      20.42   33827.15
2017 12 17 01 16 19 441       -4.56       6.40      -2.40    -366.27     -31.95       2.01      21.63   33991.60
2017 12 17 01 16 51 487       -3.95       6.95      -2.54    -364.61     -32.12      -1.09      22.83   34156.05
2017 12 17 01 17 05 552       -4.20       6.74      -2.58    -363.89     -32.19      -2.44      23.36   34228.00
2017 12 17 01 17 15 692       -4.51       6.49      -2.63    -363.77     -32.43      -1.92      22.74   33772.33
2017 12 17 01 17 33 722       -4.40       6.17      -3.09    -363.56     -32.86      -0.99      21.64   32962.26
2017 12 17 01 17 51 752       -4.65       6.30      -2.71    -363.35     -33.28      -0.06      20.53   32152.18
2017 12 17 01 18 09 787       -5.13       5.92      -2.56    -363.14     -33.70       0.87      19.43   31342.11
2017 12 17 01 18 17 677       -5.33       5.76      -2.49    -363.05     -33.89       1.27      18.95   30987.70
2017 12 17 01 18 36 510       -5.60       5.56      -2.39    -362.05     -32.74       0.90      19.61   30862.22
2017 12 17 01 19 10 128       -5.62       5.36      -1.86    -360.27     -30.70       0.23      20.77   30639.14
2017 12 17 01 19 43 919       -6.02       4.91      -1.69    -358.49     -28.66      -0.45      21.94   30416.07
2017 12 17 01 20 17 890       -6.19       4.98      -1.83    -356.71     -26.62      -1.12      23.11   30193.00
2017 12 17 01 20 32 808       -6.18       4.95      -2.07    -355.93     -25.73      -1.41      23.63   30095.40
2017 12 17 01 20 39 174       -6.18       4.92      -2.37    -356.19     -26.42      -1.39      23.38   30106.83
2017 12 17 01 20 50 505       -6.12       4.87      -2.67    -356.65     -27.65      -1.36      22.95   30127.16
2017 12 17 01 21 01 845       -5.97       5.49      -2.40    -357.11     -28.88      -1.33      22.51   30147.48
2017 12 17 01 21 13 200       -5.80       5.53      -2.56    -357.57     -30.11      -1.30      22.08   30167.81
2017 12 17 01 21 18 170       -5.90       5.40      -2.55    -357.77     -30.65      -1.28      21.89   30176.70
2017 12 17 01 21 26 798       -6.03       5.23      -2.54    -357.81     -30.83      -1.37      21.79   29974.57
2017 12 17 01 21 42 140       -5.90       5.55      -2.56    -357.87     -31.15      -1.52      21.63   29615.22
2017 12 17 01 21 57 480       -5.70       5.81      -2.47    -357.94     -31.48      -1.68      21.46   29255.87
2017 12 17 01 22 12 820       -5.39       6.08      -2.52    -358.00     -31.80      -1.84      21.29   28896.52
2017 12 17 01 22 19 532       -5.27       6.19      -2.60    -358.03     -31.94      -1.90      21.22   28739.30
2017 12 17 01 22 28 520       -5.12       6.33      -2.71    -358.03     -31.57      -1.60      21.31   28634.24
2017 12 17 01 22 44 497       -5.52       5.68      -2.97    -358.04     -30.93      -1.06      21.46   28447.46
2017 12 17 01 23 00 472       -6.26       4.80      -3.28    -358.04     -30.29      -0.53      21.62   28260.69
2017 12 17 01 23 16 446       -5.91       5.11      -3.27    -358.04     -29.65       0.01      21.77   28073.91
2017 12 17 01 23 23 436       -5.80       4.99      -3.16    -358.04     -29.36       0.25      21.84   27992.20
2017 12 17 01 23 31 972       -5.67       4.85      -3.03    -358.09     -29.35       0.54      21.62   28258.80
2017 12 17 01 23 47 147       -5.77       4.47      -3.35    -358.17     -29.32       1.06      21.22   28732.75
2017 12 17 01 24 02 319       -4.75       6.16      -3.12    -358.25     -29.29       1.58      20.82   29206.70
2017 12 17 01 24 17 492       -5.07       5.61      -3.35    -358.33     -29.26       2.11      20.43   29680.65
2017 12 17 01 24 24 131       -4.85       5.69      -3.31    -358.37     -29.25       2.33      20.25   29888.00
2017 12 17 01 24 33 398       -4.56       5.79      -3.26    -358.34     -29.82       2.36      20.48   29958.79
2017 12 17 01 24 49 873       -4.45       5.80      -3.21    -358.30     -30.84       2.41      20.89   30084.64
2017 12 17 01 25 06 345       -4.30       5.78      -3.06    -358.25     -31.86       2.47      21.29   30210.49
2017 12 17 01 25 22 818       -3.55       5.83      -3.04    -358.20     -32.89       2.52      21.70   30336.34
2017 12 17 01 25 30 026       -3.79       5.80      -3.12    -358.18     -33.33       2.54      21.88   30391.40
2017 12 17 01 25 41 797       -4.11       5.76      -3.23    -357.90     -33.09       2.55      21.75   30062.31
2017 12 17 01 26 02 734       -2.39       6.29      -2.88    -357.42     -32.65       2.56      21.51   29477.26
2017 12 17 01 26 23 682       -3.27       5.97      -3.15    -356.93     -32.22       2.57      21.28   28892.21
2017 12 17 01 26 44 644       -2.44       6.18      -3.27    -356.44     -31.78       2.58      21.05   28307.16
2017 12 17 01 26 53 820       -2.48       6.08      -3.26    -356.22     -31.59       2.58      20.95   28051.20
2017 12 17 01 27 00 750       -2.54       5.95      -3.25    -356.43     -31.37       2.26      21.07   28225.01
2017 12 17 01 27 13 072       -3.49       6.02      -3.09    -356.79     -30.98       1.70      21.27   28534.01
2017 12 17 01 27 25 405       -4.79       5.65      -2.20    -357.15     -30.59       1.13      21.47   28843.01
2017 12 17 01 27 37 743       -4.21       6.14      -2.05    -357.51     -30.21       0.57      21.67   29152.01
2017 12 17 01 27 43 144       -3.74       6.17      -1.94    -357.67     -30.03       0.32      21.76   29287.20
2017 12 17 01 27 56 928       -3.13       6.21      -1.81    -357.20     -30.14       0.04      22.07   28983.93
2017 12 17 01 28 21 462       -3.98       5.55      -1.97    -356.36     -30.33      -0.46      22.61   28444.78
2017 12 17 01 28 46 038       -4.24       5.68      -1.49    -355.51     -30.53      -0.95      23.15   27905.63
2017 12 17 01 29 10 653       -4.74       5.74      -1.65    -354.67     -30.72      -1.45      23.68   27366.48
2017 12 17 01 29 21 436       -4.89       5.61      -1.59    -354.30     -30.80      -1.67      23.92   27130.60
2017 12 17 01 29 34 316        4.01       4.33      -4.30    -371.87     -26.11       4.48      23.43   28053.13
2017 12 17 01 29 43 763        3.99       4.34      -4.32    -371.61     -26.58       4.32      23.41   28468.90
2017 12 17 01 29 55 977        3.96       4.34      -4.35    -371.26     -26.04       4.84      23.39   27724.40
2017 12 17 01 30 17 704        3.54       4.55      -4.49    -370.65     -25.07       5.76      23.34   26400.85
2017 12 17 01 30 39 452        3.44       4.62      -4.45    -370.04     -24.10       6.68      23.30   25077.30
2017 12 17 01 31 01 216        2.53       4.47      -5.12    -369.43     -23.13       7.60      23.26   23753.75
2017 12 17 01 31 10 745        2.73       4.58      -4.93    -369.17     -22.70       8.01      23.24   23174.70
2017 12 17 01 31 18 227        2.98       4.73      -4.69    -369.33     -23.18       7.77      23.22   23483.89
2017 12 17 01 31 31 530        3.02       5.08      -4.44    -369.61     -24.02       7.34      23.17   24033.57
2017 12 17 01 31 44 839        3.08       4.95      -4.48    -369.90     -24.86       6.90      23.13   24583.24
2017 12 17 01 31 58 149        3.08       4.97      -4.39    -370.18     -25.71       6.47      23.09   25132.92
2017 12 17 01 32 03 975        3.00       4.99      -4.38    -370.30     -26.08       6.29      23.07   25373.40
2017 12 17 01 32 13 019        2.88       5.02      -4.37    -370.30     -25.89       6.80      23.05   25349.47
2017 12 17 01 32 29 094        2.55       4.82      -4.62    -370.29     -25.55       7.73      23.00   25306.92
2017 12 17 01 32 45 171        2.39       4.89      -4.55    -370.28     -25.21       8.65      22.96   25264.37
2017 12 17 01 33 01 246        2.42       4.92      -4.53    -370.28     -24.88       9.57      22.92   25221.81
2017 12 17 01 33 08 280        2.46       4.85      -4.57    -370.27     -24.73       9.98      22.90   25203.20
2017 12 17 01 33 19 498        2.51       4.75      -4.64    -370.04     -24.59       9.83      22.88   25277.63
2017 12 17 01 33 39 445        2.32       4.72      -4.84    -369.62     -24.33       9.58      22.83   25409.96
2017 12 17 01 33 59 404        2.32       4.69      -4.73    -369.20     -24.07       9.32      22.79   25542.28
2017 12 17 01 34 19 369        2.18       4.76      -4.67    -368.78     -23.81       9.07      22.75   25674.61
2017 12 17 01 34 28 108        2.14       4.70      -4.74    -368.60     -23.69       8.96      22.73   25732.50
2017 12 17 01 34 37 153        2.10       4.63      -4.83    -368.59     -23.67       8.49      22.71   25355.85
2017 12 17 01 34 53 232        1.96       4.68      -4.85    -368.58     -23.64       7.65      22.66   24686.25
2017 12 17 01 35 09 312        1.87       4.58      -4.92    -368.58     -23.61       6.81      22.62   24016.65
2017 12 17 01 35 25 390        1.80       4.46      -5.07    -368.57     -23.57       5.98      22.58   23347.05
2017 12 17 01 35 32 426        1.97       4.44      -5.01    -368.56     -23.56       5.61      22.56   23054.10
2017 12 17 01 35 40 803        2.19       4.43      -4.93    -368.63     -23.62       5.60      22.54   23418.42
2017 12 17 01 35 55 694        2.37       4.34      -4.94    -368.75     -23.73       5.57      22.49   24066.09
2017 12 17 01 36 10 588        2.24       4.38      -4.98    -368.86     -23.84       5.55      22.45   24713.77
