File created on 2025-11-10T12:31:14.774966
#COOR
GSM


#START
2020 01 02 00 00 00 000        3.28       2.22       0.36    -305.80       2.93       0.25      12.04   20961.00
2020 01 02 00 01 00 000        3.25       2.33       0.19    -305.80       2.93       0.25      12.05   20976.00
2020 01 02 00 02 00 000        3.17       2.49       0.22    -305.95       3.85      -0.49      12.13   20740.50
2020 01 02 00 03 00 000        3.25       2.33       0.23    -306.10       4.77      -1.23      12.21   20505.00
2020 01 02 00 04 00 000        3.21       2.22       0.53    -306.10       4.77      -1.23      12.21   20505.00
2020 01 02 00 05 00 000        3.21       2.32       0.34    -306.55       5.17      -0.61      12.21   20349.50
2020 01 02 00 06 00 000        3.00       2.53       0.49    -307.00       5.58       0.01      12.20   20194.00
2020 01 02 00 07 00 000        3.13       2.40       0.32    -307.00       5.58       0.01      12.20   20194.00
2020 01 02 00 08 00 000        3.09       2.30       0.34    -307.00       5.58       0.01      12.20   20194.00
2020 01 02 00 09 00 000        3.10       2.35       0.11    -306.55       4.73      -0.88      12.21   20416.50
2020 01 02 00 10 00 000        3.18       2.30       0.10    -306.10       3.88      -1.78      12.23   20639.00
2020 01 02 00 11 00 000        3.12       2.40       0.10    -306.10       3.88      -1.78      12.23   20639.00
2020 01 02 00 12 00 000        3.15       2.37       0.11    -306.10       3.87      -1.78      12.23   20639.00
2020 01 02 00 13 00 000        3.08       2.40       0.12    -306.25       3.79      -1.44      12.50   21494.00
2020 01 02 00 14 00 000        2.87       2.59      -0.12    -306.40       3.70      -1.10      12.76   22349.00
2020 01 02 00 15 00 000        2.99       2.67      -0.13    -306.40       3.70      -1.10      12.76   22349.00
2020 01 02 00 16 00 000        2.90       2.73      -0.26    -306.10       4.18      -0.57      12.62   21923.00
2020 01 02 00 17 00 000        2.77       2.58      -0.22    -305.80       4.66      -0.03      12.47   21497.00
2020 01 02 00 18 00 000        2.74       2.41       0.11    -305.80       4.66      -0.03      12.47   21497.00
2020 01 02 00 19 00 000        2.70       2.47       0.01    -305.80       4.66      -0.03      12.47   21497.00
2020 01 02 00 20 00 000        2.75       2.54       0.01    -306.20       4.74      -0.74      12.97   20931.00
2020 01 02 00 21 00 000        2.75       2.53      -0.01    -306.20       4.74      -0.74      12.97   20931.00
2020 01 02 00 22 00 000        2.72       2.55      -0.09    -306.20       4.74      -0.74      12.97   20931.00
2020 01 02 00 23 00 000        2.66       2.59       0.13    -306.70       4.77      -0.47      13.05   21204.50
2020 01 02 00 24 00 000        2.57       2.54       0.32    -307.20       4.80      -0.21      13.12   21478.00
2020 01 02 00 25 00 000        2.40       2.49       0.72    -307.70       4.84       0.06      13.20   21751.50
2020 01 02 00 26 00 000        2.38       2.54       0.71    -308.20       4.87       0.33      13.28   22025.00
2020 01 02 00 27 00 000        2.61       2.51       0.31    -308.20       4.87       0.32      13.28   22025.00
2020 01 02 00 28 00 000        2.43       2.43       0.90    -308.20       4.87       0.32      13.28   22025.00
2020 01 02 00 29 00 000        2.41       2.53       0.68    -308.24       5.02       0.36      13.35   21874.13
2020 01 02 00 30 00 000        2.31       2.71       0.32    -308.27       5.16       0.39      13.42   21723.25
2020 01 02 00 31 00 000        2.23       2.75       0.37    -308.31       5.31       0.43      13.49   21572.38
2020 01 02 00 32 00 000        2.21       2.70       0.54    -308.35       5.45       0.47      13.55   21421.50
2020 01 02 00 33 00 000        2.25       2.69       0.41    -308.39       5.60       0.50      13.62   21270.63
2020 01 02 00 34 00 000        2.26       2.66       0.53    -308.42       5.75       0.54      13.69   21119.75
2020 01 02 00 35 00 000        2.22       2.68       0.46    -308.46       5.89       0.57      13.76   20968.88
