File created on 2025-11-10T15:19:06.545217
Source data: /home/dwelling/win_home/Downloads/wi_h0s_mfi_20200102000030_20200103235930_cdaweb.cdf
Ballistically propagted from L1 to upstream BATS-R-US boundary

File created on 2025-11-10 15:19:06.545090#COOR
GSM

SATELLITEXYZ
187.856
  0.000
  0.000


#START
2020 01 02 00 04 52 987        2.36       2.62       0.54    -308.04      11.26      -3.28      14.28   29327.99
2020 01 02 01 04 52 987        2.36       2.62       0.54    -308.04      11.26      -3.28      14.28   29327.99
2020 01 02 01 05 53 543        2.21       2.74       0.45    -308.00      10.61      -3.11      14.05   27844.06
2020 01 02 01 05 56 254        2.21       2.74       0.46    -308.00      10.58      -3.10      14.04   27777.63
2020 01 02 01 06 54 100        2.26       2.67       0.53    -307.96       9.97      -2.93      13.82   26360.13
2020 01 02 01 07 36 418        2.23       2.67       0.52    -307.93       9.51      -2.81      13.66   25323.13
2020 01 02 01 07 54 943        2.22       2.67       0.51    -307.89       9.39      -2.81      13.67   24816.65
2020 01 02 01 08 56 451        2.11       2.79       0.46    -307.77       8.96      -2.78      13.71   23134.98
2020 01 02 01 09 18 154        2.16       2.70       0.54    -307.73       8.81      -2.77      13.73   22541.61
2020 01 02 01 09 51 141        2.25       2.53       0.68    -308.20       8.84      -2.78      13.70   23623.71
2020 01 02 01 10 42 150        2.35       2.57       0.79    -308.92       8.88      -2.79      13.67   25295.82
2020 01 02 01 10 42 502        2.35       2.57       0.79    -308.92       8.88      -2.79      13.67   25307.36
2020 01 02 01 11 42 602        2.28       2.62       0.73    -308.88       9.14      -3.83      13.76   24432.96
2020 01 02 01 12 22 602        2.28       2.57       0.64    -308.85       9.32      -4.51      13.82   23851.01
2020 01 02 01 12 38 429        2.28       2.54       0.59    -309.22       9.41      -4.36      13.87   24283.50
2020 01 02 01 13 25 170        2.20       2.63       0.66    -310.29       9.68      -3.91      14.03   25559.09
2020 01 02 01 13 39 912        2.15       2.66       0.63    -310.62       9.76      -3.77      14.08   25960.91
2020 01 02 01 14 14 285        2.05       2.73       0.56    -311.17      10.35      -4.03      14.23   25847.27
2020 01 02 01 15 02 951        2.01       2.72       0.52    -311.95      11.19      -4.40      14.46   25686.51
2020 01 02 01 15 04 964        2.01       2.72       0.52    -311.93      11.14      -4.40      14.45   25700.05
2020 01 02 01 16 10 009        1.78       2.89       0.34    -311.52       9.38      -4.50      14.24   26137.33
2020 01 02 01 16 50 545        1.89       2.85       0.32    -311.27       8.29      -4.56      14.12   26409.81
2020 01 02 01 17 13 480        1.96       2.82       0.32    -311.24       8.27      -4.49      14.12   26940.84
2020 01 02 01 18 14 333        2.30       2.67       0.18    -311.17       8.20      -4.32      14.12   28349.77
2020 01 02 01 18 31 198        2.29       2.63       0.16    -311.15       8.18      -4.27      14.12   28740.24
2020 01 02 01 19 20 901        2.27       2.53       0.09    -310.64       8.07      -4.47      13.89   26959.15
2020 01 02 01 20 24 959        1.97       2.59       0.22    -309.98       7.93      -4.73      13.59   24664.78
2020 01 02 01 20 28 691        1.95       2.59       0.22    -310.01       8.08      -4.84      13.62   24850.33
2020 01 02 01 21 22 931        2.14       2.54      -0.23    -310.48      10.36      -6.50      14.05   27546.73
2020 01 02 01 21 54 682        2.10       2.61      -0.18    -310.75      11.69      -7.48      14.30   29124.75
2020 01 02 01 22 24 260        2.07       2.65      -0.15    -310.37      10.93      -5.65      14.14   29331.39
2020 01 02 01 23 35 622        2.47       2.44       0.92    -309.46       9.10      -1.26      13.75   29829.59
2020 01 02 01 23 52 708        2.37       2.56       0.68    -309.24       8.66      -0.21      13.66   29948.80
2020 01 02 01 24 19 597        2.05       2.95      -0.06    -310.75       8.29      -1.96      13.32   29272.24
2020 01 02 01 24 51 406        1.72       3.45      -0.50    -312.53       7.86      -4.00      12.93   28477.75
2020 01 02 01 24 57 467        1.68       3.51      -0.55    -312.56       7.88      -4.01      12.93   28257.76
2020 01 02 01 25 54 283        1.84       3.44      -0.50    -312.82       8.08      -4.12      13.00   26195.39
2020 01 02 01 26 25 385        1.77       3.46      -0.56    -312.97       8.19      -4.18      13.03   25066.52
2020 01 02 01 26 56 106        1.72       3.48      -0.62    -312.67       8.23      -4.19      13.08   25703.80
2020 01 02 01 28 04 002        1.65       3.45      -0.57    -312.03       8.31      -4.22      13.18   27111.74
2020 01 02 01 28 17 681        1.66       3.44      -0.53    -311.90       8.32      -4.23      13.20   27395.32
2020 01 02 01 29 10 194        1.70       3.44      -0.37    -311.52       7.72      -3.59      12.91   26729.99
2020 01 02 01 30 06 460        1.83       3.46      -0.33    -311.12       7.08      -2.90      12.60   26017.26
2020 01 02 01 30 13 820        1.85       3.47      -0.32    -311.23       7.24      -3.19      12.64   26051.98
2020 01 02 01 31 04 772        1.96       3.39      -0.43    -311.97       8.38      -5.18      12.92   26292.16
2020 01 02 01 31 30 749        1.89       3.40      -0.68    -312.35       8.96      -6.20      13.06   26414.54
2020 01 02 01 32 13 005        1.83       3.42      -0.92    -311.30       8.13      -6.54      13.12   26531.02
2020 01 02 01 33 39 425        1.90       3.26      -0.91    -309.16       6.45      -7.25      13.24   26768.50
2020 01 02 01 33 53 595        1.96       3.10      -1.00    -308.81       6.18      -7.36      13.26   26807.34
2020 01 02 01 34 50 965        2.25       2.26      -1.45    -308.24       5.71      -6.30      13.53   26622.38
2020 01 02 01 35 47 071        2.47       2.29      -0.99    -307.68       5.24      -5.26      13.78   26441.59
2020 01 02 01 35 54 314        2.52       2.30      -0.89    -307.97       5.43      -5.63      13.77   26358.20
2020 01 02 01 36 34 154        2.32       2.41      -0.95    -309.59       6.45      -7.69      13.69   25901.00
