File created on 2024-06-06 14:04:11.755073

#COORDINATES
GSM

 year mo dy hr mn sc msc BX BY BZ UX UY UZ RHO T
#START
1998 09 23 21 00 00 000       -3.85     4.41      1.06      -421.8    -48.      0.8       6.54      36034.0
1998 09 23 21 01 00 000       -3.91     4.27      1.35      -421.8    -48.      0.8       6.54      36034.0
1998 09 23 21 02 00 000       -4.       4.62      1.05      -416.7    -48.5     -0.5      7.16      45182.0
1998 09 23 21 03 00 000       -5.05     3.74      -0.84     -416.7    -48.5     -0.5      7.16      45182.0
1998 09 23 21 04 00 000       -5.16     4.21      -0.31     -415.     -38.2     10.9      6.3       50648.0
1998 09 23 21 05 00 000       -4.11     5.29      1.2       -417.6    -41.5     7.6       6.86      44772.0
1998 09 23 21 06 00 000       -4.5      5.42      0.69      -419.6    -42.9     6.2       6.64      36120.0
1998 09 23 21 07 00 000       -4.15     5.58      0.79      -419.1    -42.      5.9       6.67      38475.0
1998 09 23 21 08 00 000       -3.56     5.54      0.45      -418.     -42.8     5.9       6.87      41854.0
1998 09 23 21 09 00 000       -4.54     5.29      0.06      -414.7    -45.2     9.        7.36      43232.0
1998 09 23 21 10 00 000       -4.61     5.28      0.43      -413.     -45.7     9.9       7.15      43149.0
1998 09 23 21 11 00 000       -5.19     5.81      0.28      -413.8    -43.4     12.5      6.83      31859.0
1998 09 23 21 12 00 000       -5.19     5.83      0.06      -414.1    -43.6     13.2      6.73      34173.0
1998 09 23 21 13 00 000       -5.33     5.84      -0.14     -415.8    -41.2     17.4      6.73      29114.0
1998 09 23 21 14 00 000       -4.88     5.32      -0.28     -410.7    -45.6     21.2      8.28      39770.0
1998 09 23 21 15 00 000       -4.88     5.31      -0.45     -412.     -48.2     21.8      8.55      37538.0
1998 09 23 21 16 00 000       -5.17     5.1       -0.27     -409.1    -45.1     22.1      7.74      41963.0
1998 09 23 21 17 00 000       -5.08     4.96      -0.45     -410.6    -48.2     23.8      8.        40447.0
1998 09 23 21 18 00 000       -4.96     4.68      -0.85     -412.1    -51.3     25.5      8.28      38929.0
1998 09 23 21 19 00 000       -5.35     4.69      -0.25     -405.1    -47.8     27.3      8.62      48944.0
1998 09 23 21 20 00 000       -5.       4.99      -0.39     -408.2    -47.4     28.6      8.25      47444.0
1998 09 23 21 21 00 000       -5.15     4.97      -0.13     -403.9    -44.9     32.9      8.24      48539.0
1998 09 23 21 22 00 000       -5.9      4.26      -0.32     -403.9    -46.      31.9      8.31      48066.0
1998 09 23 21 23 00 000       -6.24     3.93      -0.04     -403.8    -48.3     30.       8.45      47108.0
1998 09 23 21 24 00 000       -6.27     4.        0.06      -403.3    -44.6     29.       8.38      44609.0
1998 09 23 21 25 00 000       -6.19     4.06      0.31      -403.2    -44.6     29.       8.38      44526.0
1998 09 23 21 26 00 000       -6.14     4.01      0.35      -402.6    -43.1     30.1      8.35      42730.0
1998 09 23 21 27 00 000       -5.84     4.25      0.62      -400.1    -44.3     30.3      9.13      48606.0
1998 09 23 21 28 00 000       -5.81     4.26      0.69      -400.1    -44.3     30.3      9.13      48606.0
1998 09 23 21 29 00 000       -5.62     4.84      0.41      -399.1    -42.2     27.1      9.41      53811.0
1998 09 23 21 30 00 000       -5.69     4.89      0.39      -400.6    -40.9     28.3      9.03      51823.0
1998 09 23 21 31 00 000       -5.64     5.94      0.01      -400.9    -40.6     28.5      8.94      51365.0
1998 09 23 21 32 00 000       -5.74     6.08      -0.16     -402.5    -33.5     23.7      6.69      43179.0
1998 09 23 21 33 00 000       -5.78     6.08      -0.06     -402.5    -33.5     23.7      6.69      43179.0
1998 09 23 21 34 00 000       -5.93     6.04      0.04      -401.5    -31.3     21.1      6.81      33457.0
1998 09 23 21 35 00 000       -6.11     5.73      0.08      -401.5    -31.3     21.1      6.81      33457.0
1998 09 23 21 36 00 000       -6.28     5.55      0.34      -401.5    -31.3     21.1      6.81      33457.0
1998 09 23 21 37 00 000       -6.5      5.41      0.36      -402.1    -29.1     20.4      7.02      46100.0
1998 09 23 21 38 00 000       -6.65     5.78      0.24      -400.1    -29.9     20.1      6.52      38785.0
1998 09 23 21 39 00 000       -6.68     6.17      0.2       -399.7    -30.1     20.       6.39      37169.0
1998 09 23 21 40 00 000       -6.75     6.12      0.2       -398.7    -27.9     18.1      5.65      37376.0
1998 09 23 21 41 00 000       -6.51     6.37      0.1       -397.8    -29.8     18.3      5.8       31257.0
1998 09 23 21 42 00 000       -6.21     6.68      0.09      -397.7    -30.1     18.3      5.84      30142.0
1998 09 23 21 43 00 000       -6.17     6.65      0.09      -397.3    -24.9     18.4      5.42      33968.0
1998 09 23 21 44 00 000       -6.22     6.62      -0.04     -396.4    -25.2     17.7      6.09      33029.0
1998 09 23 21 45 00 000       -6.29     6.57      0.05      -396.     -25.5     17.5      6.31      32744.0
1998 09 23 21 46 00 000       -6.25     6.73      0.1       -395.9    -26.2     17.8      5.71      33580.0
1998 09 23 21 47 00 000       -6.15     6.8       0.1       -395.4    -26.7     19.1      5.87      29744.0
1998 09 23 21 48 00 000       -6.17     6.79      0.31      -395.8    -26.6     17.6      5.25      32641.0
1998 09 23 21 49 00 000       -6.07     6.86      0.16      -393.6    -28.7     18.       6.26      32560.0
1998 09 23 21 50 00 000       -6.1      6.75      -0.03     -393.4    -28.9     18.       6.32      32554.0
1998 09 23 21 51 00 000       -5.99     6.88      -0.09     -393.5    -26.5     19.8      5.99      37392.0
1998 09 23 21 52 00 000       -5.91     6.94      0.17      -395.1    -28.3     21.1      5.94      35094.0
1998 09 23 21 53 00 000       -5.82     6.97      -0.02     -394.8    -28.7     22.1      5.93      35498.0
1998 09 23 21 54 00 000       -6.03     6.93      0.08      -395.3    -29.2     19.       6.29      33953.0
1998 09 23 21 55 00 000       -5.94     6.99      -0.15     -396.     -28.4     21.3      5.84      37792.0
1998 09 23 21 56 00 000       -5.91     7.03      -0.13     -396.1    -26.7     17.6      5.6       34423.0
1998 09 23 21 57 00 000       -5.8      7.11      -0.11     -396.1    -26.2     16.5      5.53      33395.0
1998 09 23 21 58 00 000       -5.77     7.14      0.06      -393.9    -26.7     17.1      5.97      36956.0
1998 09 23 21 59 00 000       -5.71     7.19      -0.15     -393.8    -26.3     19.9      6.42      31793.0
1998 09 23 22 00 00 000       -5.62     7.06      -0.76     -395.1    -29.8     16.7      6.14      35501.0
1998 09 23 22 01 00 000       -5.69     7.        -0.64     -395.     -31.3     17.1      6.76      36572.0
1998 09 23 22 02 00 000       -6.       6.87      -0.61     -395.2    -30.      17.1      6.52      36724.0
1998 09 23 22 03 00 000       -5.88     6.88      -0.75     -395.5    -28.2     17.1      6.19      36627.0
1998 09 23 22 04 00 000       -5.75     6.84      -0.44     -395.1    -30.5     17.6      6.6       34119.0
1998 09 23 22 05 00 000       -5.62     6.96      -0.35     -393.4    -32.5     20.3      6.29      39143.0
1998 09 23 22 06 00 000       -5.59     6.98      -0.61     -393.5    -32.9     18.5      7.16      33560.0
1998 09 23 22 07 00 000       -5.6      6.98      -0.63     -392.4    -31.2     19.5      6.79      38547.0
1998 09 23 22 08 00 000       -5.57     6.99      -0.78     -392.6    -31.5     19.4      6.9       37837.0
1998 09 23 22 09 00 000       -5.81     6.9       -0.2      -393.3    -32.2     19.       7.08      36115.0
1998 09 23 22 10 00 000       -5.88     6.97      0.13      -393.1    -31.4     17.6      6.25      39959.0
1998 09 23 22 11 00 000       -5.85     7.16      -0.22     -394.7    -31.3     18.7      6.31      32529.0
1998 09 23 22 12 00 000       -5.57     7.1       -0.49     -394.2    -29.      17.9      6.09      37240.0
1998 09 23 22 13 00 000       -5.51     7.04      -0.49     -393.8    -31.1     19.7      6.71      36571.0
1998 09 23 22 14 00 000       -5.45     7.08      -0.4      -393.8    -31.7     20.2      6.9       36367.0
1998 09 23 22 15 00 000       -5.49     7.06      -0.47     -393.4    -34.1     20.2      6.97      38731.0
1998 09 23 22 16 00 000       -5.47     7.1       -0.52     -393.8    -34.3     19.8      7.1       37002.0
1998 09 23 22 17 00 000       -5.51     7.21      -0.19     -394.     -35.2     19.3      7.13      34774.0
1998 09 23 22 18 00 000       -5.74     7.16      -0.58     -394.8    -36.6     17.       6.68      33206.0
1998 09 23 22 19 00 000       -5.6      7.21      -0.83     -394.7    -36.1     15.8      6.24      35179.0
1998 09 23 22 20 00 000       -5.57     7.29      -0.92     -391.5    -35.1     13.4      6.6       31799.0
1998 09 23 22 21 00 000       -5.94     7.01      -0.72     -391.2    -35.      13.2      6.62      31422.0
1998 09 23 22 22 00 000       -5.94     7.04      -0.73     -392.7    -36.3     11.       6.42      38572.0
1998 09 23 22 23 00 000       -5.85     6.92      -1.05     -392.7    -36.3     11.       6.42      38572.0
1998 09 23 22 24 00 000       -5.63     7.14      -0.99     -391.9    -35.2     10.7      6.83      33030.0
1998 09 23 22 25 00 000       -5.85     7.17      -0.98     -391.6    -35.4     10.7      6.74      33171.0
1998 09 23 22 26 00 000       -5.99     7.03      -1.11     -390.4    -36.2     10.9      6.29      33748.0
1998 09 23 22 27 00 000       -5.85     7.08      -1.33     -391.4    -37.2     10.6      6.52      32327.0
1998 09 23 22 28 00 000       -5.8      7.14      -1.41     -391.4    -37.4     9.4       6.51      36653.0
1998 09 23 22 29 00 000       -5.8      7.13      -1.37     -391.3    -36.7     12.       6.37      33811.0
1998 09 23 22 30 00 000       -5.94     6.99      -1.46     -389.6    -35.7     8.8       6.08      33968.0
1998 09 23 22 31 00 000       -6.24     6.92      -0.36     -389.7    -39.5     2.        6.63      33820.0
1998 09 23 22 32 00 000       -6.45     6.92      0.47      -388.3    -40.2     -2.7      6.38      37045.0
1998 09 23 22 33 00 000       -6.45     7.        -0.07     -389.8    -42.      -2.9      6.49      35655.0
1998 09 23 22 34 00 000       -6.41     6.97      -0.31     -390.8    -40.2     1.2       6.5       39467.0
1998 09 23 22 35 00 000       -6.3      6.99      -1.02     -393.1    -41.3     6.6       6.48      44017.0
1998 09 23 22 36 00 000       -6.23     7.04      -1.29     -394.4    -40.7     7.6       6.88      46840.0
1998 09 23 22 37 00 000       -6.06     6.68      -2.44     -394.9    -41.      7.3       6.97      43415.0
1998 09 23 22 38 00 000       -5.95     6.84      -2.42     -395.1    -42.9     3.8       6.74      39983.0
1998 09 23 22 39 00 000       -5.87     6.91      -2.46     -395.3    -42.5     3.5       7.04      37091.0
1998 09 23 22 40 00 000       -6.46     6.57      -1.96     -391.3    -40.1     0.4       7.21      44348.0
1998 09 23 22 41 00 000       -6.73     6.36      -1.55     -391.5    -40.2     0.7       7.24      44148.0
1998 09 23 22 42 00 000       -6.07     6.79      -1.84     -394.     -43.2     2.2       7.39      43931.0
1998 09 23 22 43 00 000       -6.25     6.89      -1.41     -395.1    -47.      1.6       7.7       45660.0
1998 09 23 22 44 00 000       -6.38     7.05      -0.82     -398.3    -44.5     0.8       7.18      51847.0
1998 09 23 22 45 00 000       -6.34     7.18      -1.05     -397.4    -46.2     2.9       7.13      44726.0
1998 09 23 22 46 00 000       -6.21     6.94      -1.64     -401.     -44.8     1.9       6.92      51741.0
1998 09 23 22 47 00 000       -6.04     6.78      -2.4      -401.     -44.6     1.5       7.04      52152.0
1998 09 23 22 48 00 000       -5.78     6.84      -2.99     -401.     -44.      0.        7.5       53666.0
1998 09 23 22 49 00 000       -5.48     6.9       -3.57     -398.6    -45.4     -3.7      6.67      48582.0
1998 09 23 22 50 00 000       -5.34     6.88      -3.86     -398.5    -45.3     -7.6      6.97      44469.0
1998 09 23 22 51 00 000       -6.02     6.93      -2.62     -400.6    -45.      -5.7      6.57      45751.0
1998 09 23 22 52 00 000       -5.92     7.11      -2.49     -402.9    -43.5     2.8       6.58      48984.0
1998 09 23 22 53 00 000       -5.78     7.58      -2.26     -402.2    -47.3     -0.1      5.36      47900.0
1998 09 23 22 54 00 000       -5.45     7.93      -1.51     -401.5    -49.1     -3.1      6.32      42923.0
1998 09 23 22 55 00 000       -5.11     8.25      -0.41     -401.7    -47.1     -1.       6.24      40543.0
1998 09 23 22 56 00 000       -4.98     8.33      -0.01     -401.6    -45.3     0.3       6.3       40912.0
1998 09 23 22 57 00 000       -5.02     8.15      0.03      -401.4    -45.3     -0.1      6.41      41558.0
1998 09 23 22 58 00 000       -4.99     8.26      0.32      -401.4    -45.3     -0.1      6.41      41558.0
1998 09 23 22 59 00 000       -4.74     8.31      1.28      -405.4    -50.1     -10.3     6.51      42083.0
1998 09 23 23 00 00 000       -4.91     8.22      0.78      -405.4    -50.1     -10.3     6.51      42083.0
1998 09 23 23 01 00 000       -4.94     8.19      0.32      -403.3    -41.2     -0.2      6.84      39954.0
1998 09 23 23 02 00 000       -5.06     8.08      -0.43     -403.1    -41.2     -0.6      6.86      40528.0
1998 09 23 23 03 00 000       -4.98     8.05      -1.27     -403.2    -41.3     -0.5      7.        41252.0
