File created on 2025-11-18T13:50:54.947043
Source data: wind_h1s_swe_20130313000049_20130320235830_cdaweb.cdf
Ballistically propagted from L1 to upstream BATS-R-US boundary

File created on 2025-11-18 13:50:54.946852#COOR
GSM

#SATELLITEXYZ
199.032
  0.000
  0.000


#START
2013 03 13 01 03 40 032       -0.44      -0.58      -2.34    -326.50      10.56       2.54      10.75   64897.00
2013 03 13 01 04 00 852       -0.43      -0.54      -2.34    -326.35      11.02       2.27      10.71   64899.41
2013 03 13 01 04 45 564       -0.39      -0.46      -2.33    -326.03      12.00       1.70      10.61   64904.60
2013 03 13 01 05 48 222       -0.25      -0.18      -2.23    -325.58      13.37       0.89      10.48   64911.86
2013 03 13 01 05 51 982       -0.25      -0.17      -2.22    -325.48      13.52       0.89      10.49   64841.05
2013 03 13 01 07 17 458        0.57       1.15      -1.80    -323.32      16.88       1.07      10.70   63234.68
2013 03 13 01 08 08 403        0.51       0.99      -1.85    -322.03      18.88       1.18      10.83   62280.32
2013 03 13 01 08 31 095        0.48       0.88      -1.89    -322.17      19.15       1.16      10.84   62143.81
2013 03 13 01 09 27 011        0.31       0.74      -1.92    -322.51      19.79       1.12      10.86   61807.49
2013 03 13 01 09 40 002        0.24       0.71      -1.93    -322.59      19.94       1.11      10.86   61729.36
2013 03 13 01 10 26 503        0.01       0.62      -1.96    -322.56      19.61       1.15      10.91   60403.43
2013 03 13 01 11 19 233        0.02       0.45      -1.99    -322.52      19.22       1.20      10.96   58899.89
2013 03 13 01 11 26 701        0.02       0.43      -1.99    -322.54      19.15       1.23      10.96   58765.42
2013 03 13 01 12 24 383       -0.13       0.20      -1.99    -322.74      18.61       1.49      10.94   57726.84
2013 03 13 01 12 53 727       -0.16       0.18      -1.98    -322.84      18.33       1.62      10.93   57198.50
2013 03 13 01 13 24 087       -0.18       0.15      -1.98    -322.77      18.45       1.56      10.85   56746.27
2013 03 13 01 14 25 886       -0.13       0.23      -1.99    -322.62      18.69       1.44      10.70   55825.77
2013 03 13 01 14 31 801       -0.10       0.24      -1.99    -322.60      18.71       1.43      10.69   55737.67
2013 03 13 01 15 31 289        0.12       0.25      -2.02    -322.16      18.10       2.18      10.64   55591.50
2013 03 13 01 16 19 581        0.17       0.29      -1.96    -321.81      17.61       2.80      10.60   55472.87
2013 03 13 01 16 39 047        0.19       0.30      -1.94    -321.51      17.40       2.75      10.61   55431.20
2013 03 13 01 17 52 261        0.27       0.35      -1.84    -320.42      16.61       2.56      10.64   55274.58
2013 03 13 01 18 19 529        0.21       0.38      -1.80    -320.01      16.32       2.48      10.65   55216.30
2013 03 13 01 19 00 508        0.11       0.42      -1.74    -319.74      15.88       2.88      10.68   57351.00
2013 03 13 01 20 05 784        0.06       0.40      -1.67    -319.30      15.18       3.52      10.73   60750.84
2013 03 13 01 20 06 457        0.07       0.40      -1.67    -319.30      15.17       3.52      10.73   60785.91
2013 03 13 01 21 10 243        0.34       0.58      -1.46    -318.94      13.85       3.63      10.99   64913.10
2013 03 13 01 21 52 045        0.24       0.58      -1.45    -318.70      12.98       3.71      11.17   67617.55
2013 03 13 01 22 11 881        0.19       0.57      -1.45    -318.80      12.20       3.82      11.12   67221.84
2013 03 13 01 23 08 322       -0.09       0.79      -1.15    -319.10       9.97       4.16      11.00   66096.04
2013 03 13 01 23 24 505       -0.03       0.69      -1.22    -319.18       9.34       4.25      10.96   65773.25
2013 03 13 01 24 01 417        0.12       0.43      -1.40    -319.67       8.74       4.05      10.83   65423.01
2013 03 13 01 24 49 308        0.43       0.15      -1.50    -320.30       7.98       3.78      10.66   64968.85
2013 03 13 01 24 53 920        0.46       0.13      -1.50    -320.29       7.80       3.77      10.66   65188.78
2013 03 13 01 25 55 351        0.28       0.96      -1.10    -320.17       5.41       3.59      10.76   68117.87
2013 03 13 01 26 29 944        0.20       0.41      -1.19    -320.11       4.07       3.49      10.81   69767.30
2013 03 13 01 26 56 509        0.14      -0.01      -1.26    -320.08       3.72       3.54      10.78   69013.48
2013 03 13 01 27 57 316       -0.01      -0.33      -1.48    -320.01       2.92       3.65      10.69   67288.04
2013 03 13 01 28 09 557       -0.07      -0.31      -1.50    -320.00       2.76       3.67      10.67   66940.71
2013 03 13 01 29 08 977       -0.30      -0.22      -1.58    -319.05       3.10       2.04      10.83   67921.41
2013 03 13 01 30 11 507       -0.82       0.20      -1.25    -318.06       3.47       0.32      11.00   68952.23
2013 03 13 01 30 22 714       -0.92       0.28      -1.19    -317.93       3.36      -0.11      11.00   67734.41
2013 03 13 01 31 32 570       -0.48       1.30       0.54    -317.13       2.69      -2.81      10.98   60145.96
2013 03 13 01 32 05 959       -0.38       1.52       0.71    -316.74       2.37      -4.10      10.97   56520.82
2013 03 13 01 32 37 405       -0.28       1.76       0.89    -316.73       0.64      -4.69      10.72   57060.04
