MIDL Ballistic 32Re Data for 2015-03-16 to 2015-03-20

#COORDINATES
GSM

yr mo dy hr mn sc msc bx by bz ux uy uz rho T

#START
2015  3 16  0  0  0    0     1.31    -0.10     5.42    -311.1     -0.37     -0.41    19.305      43389
2015  3 16  0  1  0    0     1.31    -0.10     5.45    -311.0     -0.35     -0.54    19.134      41247
2015  3 16  0  2  0    0     1.34    -0.15     5.46    -310.7     -0.25     -0.52    19.192      41247
2015  3 16  0  3  0    0     1.54    -0.15     5.42    -310.9      0.54      0.06    19.515      42346
2015  3 16  0  4  0    0     1.83    -0.32     5.30    -310.2      0.17      0.46    19.611      42346
2015  3 16  0  5  0    0     2.11    -0.48     5.11    -308.4     -1.33      0.71    19.864      42637
2015  3 16  0  6  0    0     2.40    -0.65     4.89    -306.4     -3.06      0.94    20.147      42987
2015  3 16  0  7  0    0     2.93    -1.37     4.38    -305.5     -4.16      0.87    20.596      43021
2015  3 16  0  8  0    0     3.03    -1.78     3.95    -305.8     -5.70      0.07    21.719      45710
2015  3 16  0  9  0    0     2.74    -2.50     3.64    -307.8     -8.00     -0.30    24.274      50052
2015  3 16  0 10  0    0     2.45    -3.60     3.20    -311.8     -6.83     -0.45    25.763      47683
2015  3 16  0 11  0    0     2.30    -3.76     3.26    -312.4     -6.85      0.18    26.086      48216
2015  3 16  0 12  0    0     2.08    -3.78     3.28    -313.7     -6.60      0.26    26.705      49758
2015  3 16  0 13  0    0     1.89    -3.90     2.92    -314.4     -6.07     -0.40    26.564      50088
2015  3 16  0 14  0    0     2.87    -4.04     3.11    -319.2     -4.88      0.58    25.193      48438
2015  3 16  0 15  0    0     3.62    -4.88     5.49    -319.6     -4.12      5.11    25.068      46866
2015  3 16  0 16  0    0     3.71    -5.11     5.61    -320.0     -4.38      5.39    24.617      43755
2015  3 16  0 17  0    0     3.81    -5.75     5.09    -318.6     -6.06      4.59    24.332      42245
2015  3 16  0 18  0    0     4.01    -6.88     2.20    -318.5    -12.89      1.87    24.068      41767
2015  3 16  0 19  0    0     4.06    -7.49     1.07    -318.7    -16.57     -1.65    24.013      42964
2015  3 16  0 20  0    0     4.04    -7.80     1.30    -318.9    -19.78     -2.11    23.819      43244
2015  3 16  0 21  0    0     4.22    -7.81     1.67    -317.5    -21.72     -1.81    23.330      41791
2015  3 16  0 22  0    0     4.42    -7.69     2.18    -316.0    -22.90     -1.40    22.974      40320
2015  3 16  0 23  0    0     4.55    -7.41     3.06    -314.8    -22.83     -0.73    23.125      39602
2015  3 16  0 24  0    0     4.74    -6.94     3.44    -313.8    -22.88     -0.02    23.749      39530
2015  3 16  0 25  0    0     4.88    -6.53     3.64    -312.5    -22.05      1.06    24.274      41144
2015  3 16  0 26  0    0     4.95    -6.21     3.79    -311.3    -20.86      2.38    24.632      43660
2015  3 16  0 27  0    0     4.95    -6.03     4.18    -310.8    -22.12      3.56    24.609      43660
2015  3 16  0 28  0    0     4.89    -5.95     4.66    -309.9    -19.08      5.95    24.342      42595
2015  3 16  0 29  0    0     4.79    -5.97     4.79    -310.4    -18.16      6.63    23.161      41281
2015  3 16  0 30  0    0     4.96    -6.13     4.77    -309.6    -19.63      5.34    22.648      41164
2015  3 16  0 31  0    0     5.16    -6.25     4.66    -309.3    -20.20      4.55    22.568      42493
2015  3 16  0 32  0    0     5.25    -6.33     4.65    -309.4    -18.93      4.52    23.284      43262
2015  3 16  0 33  0    0     4.90    -6.38     4.84    -312.0    -17.66      3.42    25.615      41626
2015  3 16  0 34  0    0     4.66    -6.16     4.95    -312.2    -16.92      4.12    25.241      38701
2015  3 16  0 35  0    0     4.58    -5.74     5.12    -312.6    -15.60      5.60    24.481      36687
2015  3 16  0 36  0    0     4.54    -5.89     5.18    -312.9    -15.99      4.57    24.096      35638
2015  3 16  0 37  0    0     4.55    -6.03     5.14    -313.1    -16.30      3.35    23.903      34046
2015  3 16  0 38  0    0     4.53    -6.02     5.14    -312.6    -16.31      3.39    23.809      33155
2015  3 16  0 39  0    0     4.60    -6.03     5.13    -312.0    -16.73      3.31    23.797      33392
2015  3 16  0 40  0    0     4.71    -6.09     5.13    -311.9    -17.90      3.05    23.712      34173
2015  3 16  0 41  0    0     4.59    -6.15     4.90    -313.6    -16.06      3.35    23.518      34579
2015  3 16  0 42  0    0     4.43    -6.18     4.77    -314.6    -14.94      3.42    23.514      34301
2015  3 16  0 43  0    0     4.51    -6.11     5.34    -314.5    -14.70      2.79    23.706      34256
2015  3 16  0 44  0    0     4.42    -6.08     5.30    -314.8    -14.72      1.62    25.200      36021
2015  3 16  0 45  0    0     4.11    -5.46     5.24    -316.7    -12.95     -1.12    29.504      41461
2015  3 16  0 46  0    0     3.88    -5.22     5.13    -317.2    -13.00     -1.62    28.863      41461
2015  3 16  0 47  0    0     3.96    -5.34     4.99    -317.6    -13.43     -2.29    28.328      41877
2015  3 16  0 48  0    0     4.07    -5.52     4.58    -318.0    -13.50     -2.08    28.496      43380
2015  3 16  0 49  0    0     4.07    -5.53     4.43    -319.4    -10.43      0.14    29.786      46924
2015  3 16  0 50  0    0     3.83    -5.29     4.63    -319.7    -10.48      0.09    31.578      48868
2015  3 16  0 51  0    0     3.65    -5.34     4.55    -319.7    -11.44     -0.29    32.990      50156
2015  3 16  0 52  0    0     3.52    -5.30     4.25    -320.1    -11.15     -1.25    33.488      50156
2015  3 16  0 53  0    0     3.30    -5.02     4.17    -320.7     -8.88     -1.40    33.995      50150
2015  3 16  0 54  0    0     2.61    -4.73     3.55    -326.0     -8.92     -2.61    34.291      48878
2015  3 16  0 55  0    0     2.50    -5.33     2.92    -327.0     -7.36     -1.89    32.865      48280
2015  3 16  0 56  0    0     2.46    -6.04     2.30    -326.2     -6.37     -1.56    31.999      48914
