File created on 2017-08-07T10:49:44.238378

#START
2014 03 11 00 00 00 000        3.40       1.23      -0.15    -307.50       0.00       0.00       5.67   53935.00
2014 03 11 00 01 00 000        3.41       1.43       0.01    -306.00       0.00       0.00       5.85   58742.00
2014 03 11 00 02 00 000        3.36       1.75      -0.52    -307.30       0.00       0.00       5.87   57838.00
2014 03 11 00 03 00 000        3.19       1.71      -0.18    -308.30       0.00       0.00       5.84   61270.00
2014 03 11 00 04 00 000        3.01       1.90      -0.26    -308.40       0.00       0.00       5.75   53765.00
2014 03 11 00 05 00 000        2.80       2.49      -0.26    -307.60       0.00       0.00       5.78   52786.00
2014 03 11 00 06 00 000        2.89       2.20      -0.03    -308.50       0.00       0.00       5.57   51381.00
2014 03 11 00 07 00 000        2.96       2.42       0.08    -308.80       0.00       0.00       5.37   47543.00
2014 03 11 00 08 00 000        3.03       2.04       0.21    -308.00       0.00       0.00       5.55   51233.00
2014 03 11 00 09 00 000        3.42       1.30      -0.19    -305.40       0.00       0.00       5.45   50695.00
2014 03 11 00 10 00 000        3.39       0.84      -0.28    -305.70       0.00       0.00       5.56   55155.00
2014 03 11 00 11 00 000        2.90       2.26      -0.71    -307.10       0.00       0.00       5.77   57054.00
2014 03 11 00 12 00 000        2.78       2.54      -0.28    -306.70       0.00       0.00       5.49   46458.00
2014 03 11 00 13 00 000        3.04       1.91      -0.49    -308.20       0.00       0.00       5.56   45539.00
2014 03 11 00 14 00 000        3.05       2.29      -1.02    -307.90       0.00       0.00       5.65   43378.00
2014 03 11 00 15 00 000        3.08       1.92      -0.90    -309.20       0.00       0.00       5.85   44405.00
2014 03 11 00 16 00 000        3.14       1.70      -0.59    -310.00       0.00       0.00       5.89   43806.00
2014 03 11 00 17 00 000        3.19       1.95      -0.34    -306.40       0.00       0.00       5.80   45557.00
2014 03 11 00 18 00 000        3.56       1.26      -0.08    -306.50       0.00       0.00       5.72   46062.00
2014 03 11 00 19 00 000        3.36       0.84      -0.40    -304.50       0.00       0.00       6.00   44792.00
2014 03 11 00 20 00 000        3.53       0.17      -0.81    -302.30       0.00       0.00       5.54   39436.00
2014 03 11 00 21 00 000        3.44       0.46      -0.74    -300.90       0.00       0.00       5.43   39990.00
2014 03 11 00 22 00 000        3.50       0.30      -0.75    -308.60       0.00       0.00       5.66   37789.00
2014 03 11 00 23 00 000        2.85       1.77      -0.49    -303.70       0.00       0.00       5.76   42589.00
2014 03 11 00 24 00 000        2.75       2.28      -0.31    -306.50       0.00       0.00       5.69   39556.00
2014 03 11 00 25 00 000        3.17       1.27      -0.30    -307.40       0.00       0.00       5.82   40583.00
2014 03 11 00 26 00 000        2.90       2.00      -0.16    -307.90       0.00       0.00       5.91   41893.00
2014 03 11 00 27 00 000        3.39       0.98      -0.13    -305.80       0.00       0.00       5.80   45541.00
2014 03 11 00 28 00 000        2.72       2.69       0.27    -305.60       0.00       0.00       5.44   38611.00
2014 03 11 00 29 00 000        3.40       0.77      -0.14    -306.10       0.00       0.00       5.70   41230.00
2014 03 11 00 30 00 000        3.52       0.60      -0.28    -301.80       0.00       0.00       6.14   53938.00
2014 03 11 00 31 00 000        3.69       0.08      -0.18    -302.80       0.00       0.00       6.22   53958.00
2014 03 11 00 32 00 000        3.45       0.76      -0.30    -303.10       0.00       0.00       6.16   52931.00
2014 03 11 00 33 00 000        3.48       0.56      -0.35    -304.80       0.00       0.00       5.57   39837.00
2014 03 11 00 34 00 000        3.50       0.67      -0.33    -304.80       0.00       0.00       5.85   45178.00
2014 03 11 00 35 00 000        3.67       0.20      -0.38    -307.60       0.00       0.00       5.42   36694.00
2014 03 11 00 36 00 000        3.28       1.17      -0.38    -302.50       0.00       0.00       5.35   37723.00
2014 03 11 00 37 00 000        3.46       0.88      -0.32    -302.30       0.00       0.00       5.41   38431.00
2014 03 11 00 38 00 000        3.57       0.57      -0.35    -301.30       0.00       0.00       5.68   41153.00
2014 03 11 00 39 00 000        3.69       0.27      -0.40    -302.40       0.00       0.00       5.40   37748.00
2014 03 11 00 40 00 000        3.18       1.55      -0.34    -302.40       0.00       0.00       5.30   37180.00
2014 03 11 00 41 00 000        3.59       0.58      -0.34    -301.00       0.00       0.00       5.74   41110.00
2014 03 11 00 42 00 000        3.67       0.34      -0.35    -301.40       0.00       0.00       5.93   44921.00
2014 03 11 00 43 00 000        3.48       0.92      -0.34    -306.70       0.00       0.00       5.80   43490.00
2014 03 11 00 44 00 000        3.67       0.32      -0.36    -306.40       0.00       0.00       5.62   39188.00
2014 03 11 00 45 00 000        3.40       0.97      -0.29    -299.70       0.00       0.00       5.47   41377.00
2014 03 11 00 46 00 000        3.61       0.31      -0.24    -301.80       0.00       0.00       6.00   48663.00
2014 03 11 00 47 00 000        3.44       0.80      -0.26    -302.80       0.00       0.00       6.25   52538.00
2014 03 11 00 48 00 000        3.60       0.33      -0.23    -303.10       0.00       0.00       6.23   52668.00
2014 03 11 00 49 00 000        3.45       0.84      -0.23    -303.00       0.00       0.00       6.25   52783.00
2014 03 11 00 50 00 000        3.35       0.85      -0.31    -302.90       0.00       0.00       6.26   53046.00
2014 03 11 00 51 00 000        3.51       0.63      -0.34    -302.70       0.00       0.00       6.22   54395.00
2014 03 11 00 52 00 000        3.64       0.18      -0.36    -302.90       0.00       0.00       6.09   53711.00
2014 03 11 00 53 00 000        3.60       0.28      -0.34    -302.70       0.00       0.00       6.09   56385.00
2014 03 11 00 54 00 000        3.69       0.03      -0.32    -303.90       0.00       0.00       5.93   53894.00
2014 03 11 00 55 00 000        3.72       0.01      -0.30    -304.40       0.00       0.00       5.82   52175.00
