File created on 2024-08-22T18:12:18.832619
Source data: ace_20170906_180000_merged.cdfBallistically propagted from L1 to upstream BATS-R-US boundaryFile created on 2024-08-22 18:12:18.832281#COOR
GSM


#START
2017 09 06 18 50 21 708        1.01      -2.19       1.08    -405.28     -14.69      36.60       2.34   18912.80
2017 09 06 18 51 20 553        0.89      -2.38       0.77    -405.43     -14.27      37.60       2.44   19544.00
2017 09 06 18 52 19 014        0.88      -2.31       0.96    -405.64     -13.72      38.93       2.58   20385.60
2017 09 06 18 53 29 474        1.20      -2.08       1.21    -404.24     -10.66      38.76       2.40   17973.85
2017 09 06 18 54 30 276        1.25      -2.07       1.22    -404.13     -11.18      38.41       2.55   18829.22
2017 09 06 18 55 41 541        1.17      -2.02       1.31    -402.64      -9.74      38.57       2.57   19756.62
2017 09 06 18 56 41 828        1.37      -2.20       1.07    -402.60     -10.10      37.36       2.65   20359.10
2017 09 06 18 57 41 579        1.44      -2.19       1.11    -402.63     -11.39      36.49       2.71   20700.95
2017 09 06 18 58 46 549        1.19      -2.29       1.16    -401.98     -12.23      37.70       2.62   20187.72
2017 09 06 18 59 29 820        0.77      -2.41       1.32    -404.20     -12.51      37.33       2.69   19635.00
2017 09 06 19 00 30 654        0.76      -2.46       1.03    -404.09     -13.00      37.21       2.60   18689.85
2017 09 06 19 01 31 622        0.76      -2.19       1.60    -403.96     -11.21      38.72       2.85   18677.03
2017 09 06 19 02 33 875        0.77      -2.25       1.44    -403.66     -10.32      37.95       2.54   19046.31
2017 09 06 19 03 30 061        0.72      -2.32       1.20    -404.17     -10.63      37.09       2.58   19689.15
2017 09 06 19 04 26 256        0.83      -2.26       1.20    -404.67     -10.94      36.23       2.61   20331.99
2017 09 06 19 05 51 411        0.99      -2.24       1.17    -401.34     -13.27      36.11       2.55   20675.18
2017 09 06 19 06 45 430        0.97      -2.33       1.15    -402.13     -13.30      35.69       2.54   21125.70
2017 09 06 19 07 45 136        1.04      -2.42       0.97    -402.17     -13.77      34.35       2.66   21837.67
2017 09 06 19 08 33 819        0.91      -2.57       0.68    -403.67     -16.79      31.90       2.71   23373.97
2017 09 06 19 09 37 624        1.19      -2.41       0.60    -403.16     -17.63      31.04       2.41   20905.03
2017 09 06 19 10 31 801        1.12      -2.22       0.96    -403.94     -14.20      35.16       2.66   17885.47
2017 09 06 19 11 48 652        1.35      -2.14       0.97    -401.70     -13.43      36.71       2.50   17446.98
2017 09 06 19 13 00 911        1.49      -1.98       1.12    -400.09     -13.23      37.41       2.57   18538.25
2017 09 06 19 14 06 583        1.40      -2.14       0.88    -399.35     -13.76      37.32       2.70   19196.05
2017 09 06 19 15 03 842        1.33      -2.20       0.76    -399.71     -16.36      34.97       2.54   18026.07
2017 09 06 19 15 54 177        1.27      -2.21       0.86    -400.98     -16.69      34.96       2.46   17724.05
2017 09 06 19 16 50 048        1.23      -2.23       0.92    -401.52     -17.09      35.70       2.56   18067.27
2017 09 06 19 17 53 216        1.26      -2.15       0.95    -401.10     -16.62      35.75       2.62   18385.65
2017 09 06 19 19 00 489        1.36      -2.05       0.98    -400.15     -16.12      36.46       2.59   17498.32
2017 09 06 19 19 56 120        1.32      -2.13       0.79    -400.72     -15.78      36.53       2.59   18056.42
2017 09 06 19 21 04 514        1.27      -2.09       0.79    -399.63     -16.61      36.40       2.69   17820.08
2017 09 06 19 22 07 445        1.37      -1.96       0.91    -399.24     -14.98      37.43       2.72   18676.90
2017 09 06 19 23 05 815        1.30      -1.95       0.85    -399.46     -15.27      37.89       2.62   17109.75
2017 09 06 19 23 50 010        1.02      -2.05       0.85    -401.53     -15.10      37.02       2.53   17087.47
2017 09 06 19 24 29 639        0.76      -2.20       0.75    -404.23     -15.77      37.68       2.48   16315.50
2017 09 06 19 25 35 381        1.01      -2.25       0.47    -403.46     -16.89      36.01       2.54   16951.07
2017 09 06 19 26 47 698        1.02      -2.26       0.51    -401.83     -17.22      35.88       2.50   16198.35
2017 09 06 19 27 45 123        1.06      -2.28       0.51    -402.17     -16.80      35.51       2.37   15226.47
2017 09 06 19 28 42 731        0.89      -2.37       0.53    -402.49     -17.38      35.15       2.34   14935.25
2017 09 06 19 29 42 600        1.02      -2.37       0.40    -402.51     -18.14      34.52       2.34   15307.25
2017 09 06 19 30 53 647        1.07      -2.38       0.30    -401.05     -19.11      32.71       2.29   16759.55
2017 09 06 19 32 20 816        1.16      -2.40       0.40    -397.51     -21.65      32.46       2.18   16736.55
2017 09 06 19 33 14 235        1.18      -2.28       0.39    -398.37     -20.45      34.89       2.18   16491.97
2017 09 06 19 34 08 222        1.07      -2.24       0.49    -399.15     -17.14      33.13       2.32   16995.88
2017 09 06 19 34 53 076        0.95      -2.27       0.47    -401.13     -16.72      33.00       2.14   14587.25
2017 09 06 19 36 18 407        1.37      -2.17      -0.03    -397.83     -18.62      30.48       2.01   17264.83
2017 09 06 19 37 24 215        1.26      -2.26       0.09    -397.08     -19.68      29.54       2.00   19185.75
2017 09 06 19 38 30 044        1.33      -2.25       0.01    -396.33     -20.75      28.60       1.99   21106.67
2017 09 06 19 39 41 278        1.33      -2.27      -0.04    -394.89     -20.94      25.99       2.03   21545.20
2017 09 06 19 40 38 323        1.24      -2.27       0.13    -395.27     -20.99      28.37       1.92   20749.50
2017 09 06 19 41 56 323        1.33      -2.16       0.38    -392.99     -20.38      32.45       2.00   19726.30
2017 09 06 19 42 55 064        1.28      -2.09       0.32    -393.15     -18.55      32.14       2.08   21157.72
2017 09 06 19 43 58 273        1.47      -1.98       0.43    -392.74     -16.09      31.86       2.25   21516.65
2017 09 06 19 44 45 300        1.41      -2.03       0.49    -394.38     -15.77      33.10       2.28   20958.20
2017 09 06 19 45 21 771        1.04      -2.16       0.50    -397.40     -16.91      34.19       2.22   17658.25
2017 09 06 19 46 08 182        1.30      -1.89       0.95    -399.16     -16.50      35.39       2.23   14584.23
2017 09 06 19 47 29 069        1.53      -1.60       1.17    -396.46     -11.20      37.47       2.43   14586.55
2017 09 06 19 48 35 272        1.46      -1.56       1.21    -395.66      -9.99      38.24       2.47   13385.95
2017 09 06 19 49 07 498        1.46      -1.77       0.84    -399.25     -15.08      35.30       2.11   13041.45
2017 09 06 19 50 07 502        1.07      -1.81       0.75    -399.24     -16.32      29.85       2.30   17382.12
2017 09 06 19 50 14 248       -0.02      -1.92       0.00    -414.55     -16.85      25.97       2.53   23088.62
2017 09 06 19 51 28 314       -0.21      -1.93      -0.13    -412.59     -16.70      19.69       3.24   21080.28
2017 09 06 19 53 02 017       -0.39      -1.60       0.14    -407.96      -6.46      25.38       3.09   22325.10
2017 09 06 19 53 56 638       -0.11      -1.48       0.35    -408.69      -2.67      26.17       3.13   19324.65
2017 09 06 19 55 37 929        1.03      -1.72       0.63    -403.13      -9.22      28.38       2.54   19890.65
2017 09 06 19 56 09 986        0.48      -2.05       0.63    -406.88     -18.28      31.78       2.33   15992.10
2017 09 06 19 57 02 160        0.21      -1.90       0.90    -407.94     -14.58      32.93       2.37   14629.75
2017 09 06 19 58 07 934        0.41      -1.62       1.00    -407.15     -12.63      32.76       2.42   15421.90
2017 09 06 19 59 22 867        0.41      -1.70       0.87    -405.14     -13.31      32.76       2.33   15455.58
2017 09 06 20 00 31 598        0.59      -1.67       0.85    -403.98     -14.30      33.17       2.26   14091.55
2017 09 06 20 01 41 043        0.78      -1.67       0.63    -402.72     -14.97      33.32       2.25   13118.28
2017 09 06 20 02 58 870        0.83      -1.64       0.49    -400.38     -14.74      32.53       2.28   14313.03
2017 09 06 20 04 04 633        0.82      -1.65       0.38    -399.62     -15.22      31.90       2.10   15318.98
2017 09 06 20 05 03 240        0.73      -1.67       0.52    -399.80     -15.85      31.00       2.27   16069.97
2017 09 06 20 05 46 123        0.31      -1.82       0.17    -402.05     -15.87      31.16       2.29   15721.35
2017 09 06 20 06 13 919        0.16      -1.96      -0.15    -406.35     -18.49      27.33       2.25   15742.83
2017 09 06 20 07 05 562       -0.12      -2.01       0.07    -407.48     -18.76      25.27       2.19   15625.42
2017 09 06 20 08 16 229        0.15      -2.06       0.26    -406.04     -17.16      26.96       2.10   15709.88
2017 09 06 20 09 23 370        0.19      -2.11       0.41    -405.08     -18.02      30.06       2.12   14940.05
2017 09 06 20 10 29 339        0.07      -2.09       0.50    -404.28     -19.70      33.63       2.18   13885.45
2017 09 06 20 11 20 505       -0.13      -2.08       0.35    -405.46     -18.98      31.82       1.97   16170.60
2017 09 06 20 12 55 038        0.68      -1.91       0.85    -400.88     -16.77      33.75       2.16   13423.42
2017 09 06 20 14 08 334        0.73      -1.74       0.75    -399.14     -16.69      34.70       2.42   17546.73
2017 09 06 20 14 50 250        0.59      -1.76       0.51    -401.51     -17.25      32.51       2.38   18901.47
2017 09 06 20 16 05 743        0.80      -1.90       0.31    -399.48     -19.55      31.71       2.31   15758.17
2017 09 06 20 17 23 004        0.88      -2.08       0.18    -397.24     -19.20      32.01       2.27   16122.25
2017 09 06 20 18 26 570        0.60      -2.16       0.34    -396.79     -19.37      32.37       2.30   16685.03
2017 09 06 20 19 07 900        0.64      -2.21       0.22    -399.20     -23.22      32.39       2.35   14774.40
2017 09 06 20 20 07 133        0.45      -2.25       0.35    -399.30     -22.65      32.74       2.09   15871.15
2017 09 06 20 20 53 585        0.23      -2.20       0.51    -401.07     -19.86      34.78       2.26   14526.42
2017 09 06 20 21 35 946        0.28      -2.25       0.37    -403.40     -21.02      34.82       2.26   14651.57
2017 09 06 20 22 23 486        0.06      -2.20       0.39    -405.07     -20.45      33.56       2.49   17786.90
2017 09 06 20 23 13 547        0.06      -1.88       0.47    -406.40     -12.52      31.54       2.88   21883.55
2017 09 06 20 24 02 914       -0.12      -1.79       0.65    -407.84     -11.64      32.51       2.86   22839.35
2017 09 06 20 24 57 058       -0.35      -1.67       0.76    -408.64      -9.08      33.11       2.97   22836.35
2017 09 06 20 25 58 437       -0.97      -0.89       1.04    -408.45      -9.16      32.45       2.82   22637.60
2017 09 06 20 27 01 708       -1.15      -1.04       1.02    -408.01     -10.30      31.42       2.58   22480.13
2017 09 06 20 28 04 985       -0.70      -1.72       0.69    -407.56     -11.45      30.39       2.33   22322.67
2017 09 06 20 28 51 808       -0.63      -1.95       0.37    -409.36     -15.11      29.32       2.08   20452.47
2017 09 06 20 29 36 994       -0.63      -1.97       0.44    -411.39     -16.09      30.12       1.85   21911.00
2017 09 06 20 30 37 778       -0.74      -1.87       0.44    -411.29     -16.87      29.11       2.07   21295.75
2017 09 06 20 31 43 527       -0.64      -1.98       0.18    -410.49     -17.98      26.16       2.15   20027.00
2017 09 06 20 32 52 097       -0.31      -2.13       0.25    -409.32     -19.37      25.52       2.11   18324.35
2017 09 06 20 34 11 241       -0.13      -2.11       0.55    -406.72     -21.18      31.75       1.97   15535.03
2017 09 06 20 35 31 276        0.07      -2.22       0.37    -404.03     -22.05      34.15       2.01   15228.40
2017 09 06 20 36 27 494       -0.17      -2.05       0.69    -404.53     -21.07      35.38       2.18   16663.00
2017 09 06 20 37 09 432       -0.20      -1.98       0.74    -406.96     -14.94      35.15       2.09   18528.50
2017 09 06 20 38 00 653       -0.31      -1.95       0.81    -408.15     -18.79      33.14       2.19   18002.85
2017 09 06 20 38 57 270       -0.38      -2.02       0.55    -408.61     -19.89      31.41       1.90   18719.03
2017 09 06 20 39 42 344       -0.53      -1.92       0.67    -410.66     -18.43      34.22       2.09   18423.57
2017 09 06 20 40 58 485       -0.55      -2.00       0.69    -408.45     -20.65      34.42       2.04   19268.68
2017 09 06 20 42 04 764       -0.62      -1.86       0.86    -407.60     -19.80      34.52       2.10   19178.74
2017 09 06 20 43 04 236       -0.39      -1.99       0.66    -407.67     -17.52      34.86       2.20   18650.39
2017 09 06 20 44 23 182       -0.40      -2.13       0.77    -405.11     -19.85      34.52       1.98   16749.35
2017 09 06 20 45 07 329       -0.71      -1.89       0.98    -407.25     -20.33      33.40       1.93   17455.10
2017 09 06 20 46 13 556       -0.75      -1.99       0.93    -406.41     -19.66      31.07       1.86   19578.60
2017 09 06 20 47 12 120       -0.65      -2.08       0.94    -406.60     -21.46      31.62       1.98   18200.30
2017 09 06 20 48 00 312       -1.00      -1.89       1.01    -408.20     -19.79      31.20       1.93   20176.00
2017 09 06 20 48 48 801       -1.01      -1.87       0.90    -409.77     -17.94      30.95       1.89   21532.38
2017 09 06 20 49 48 469       -0.79      -2.14       0.61    -409.82     -19.67      31.91       2.05   18273.12
2017 09 06 20 50 55 952       -0.89      -1.98       0.79    -408.80     -19.82      30.21       1.99   19807.35
2017 09 06 20 51 31 041       -1.11      -1.86       0.77    -412.23     -16.44      32.37       1.99   21013.60
2017 09 06 20 52 20 838       -1.18      -1.79       0.86    -413.65     -14.47      33.39       1.97   24146.75
2017 09 06 20 53 21 287       -1.24      -1.64       0.94    -413.58     -14.38      34.37       2.05   21173.97
2017 09 06 20 54 31 146       -1.24      -1.62       0.95    -412.21     -13.37      33.08       1.86   23693.18
2017 09 06 20 55 09 861       -1.39      -1.46       0.83    -415.19     -10.03      32.00       1.91   23271.52
2017 09 06 20 56 13 504       -1.25      -1.46       0.87    -414.67     -11.87      33.20       1.85   26791.07
2017 09 06 20 57 30 299       -0.77      -1.87       0.52    -412.33     -14.66      31.98       1.83   27624.10
2017 09 06 20 59 02 319       -0.68      -1.97       0.44    -407.93     -17.68      30.30       1.81   21174.93
2017 09 06 20 59 52 808       -0.65      -1.96       0.49    -409.23     -17.78      31.02       1.98   18536.95
2017 09 06 21 00 04 343       -1.09      -1.80       0.15    -415.97     -11.82      24.04       2.14   20306.25
2017 09 06 21 00 55 525       -1.12      -1.90       0.31    -417.22     -11.83      24.33       2.12   19666.18
2017 09 06 21 02 34 008       -0.97      -2.01       0.65    -411.82     -12.61      27.77       2.06   24973.05
2017 09 06 21 03 37 080       -1.03      -1.98       0.61    -411.39     -12.61      30.92       1.96   24254.55
2017 09 06 21 04 38 114       -0.96      -2.05       0.45    -411.25     -13.30      31.86       1.92   21485.35
2017 09 06 21 06 08 911       -0.73      -2.16       0.56    -407.04     -14.97      28.36       2.21   21823.17
2017 09 06 21 07 08 400       -0.70      -2.12       0.54    -407.11     -13.55      29.69       2.54   23575.15
2017 09 06 21 08 10 208       -0.68      -2.16       0.60    -406.87     -14.38      29.09       2.24   21662.30
2017 09 06 21 09 03 990       -1.02      -1.93       0.74    -407.71     -13.18      33.00       2.56   21693.62
2017 09 06 21 10 19 668       -0.86      -1.82       0.99    -405.59      -8.00      34.46       2.74   24706.65
2017 09 06 21 11 26 812       -0.80      -1.79       0.90    -404.64      -8.22      31.70       2.86   22602.45
2017 09 06 21 12 36 294       -1.00      -1.78       0.47    -403.37      -6.08      29.00       3.21   21007.05
2017 09 06 21 13 23 132       -1.00      -1.75       0.70    -405.13      -5.85      26.71       3.23   21083.10
2017 09 06 21 14 17 297       -1.05      -1.71       0.58    -405.91      -5.21      25.41       3.28   22499.45
2017 09 06 21 15 19 725       -0.94      -1.76       0.56    -405.59      -6.90      25.95       3.25   21993.26
2017 09 06 21 16 23 275       -0.81      -1.83       0.59    -405.11      -9.47      27.02       3.17   20759.21
2017 09 06 21 17 25 846       -0.80      -1.77       0.55    -404.77     -10.26      25.87       3.04   21351.90
2017 09 06 21 18 24 828       -0.83      -1.72       0.51    -404.90      -9.16      25.96       3.22   21421.90
2017 09 06 21 19 26 388       -0.92      -1.65       0.41    -404.69      -7.72      24.98       3.18   22228.45
2017 09 06 21 20 22 033       -1.00      -1.67       0.33    -405.28      -8.15      24.77       3.21   22718.00
2017 09 06 21 21 18 766       -0.97      -1.79       0.15    -405.72      -9.03      24.31       3.21   23160.72
2017 09 06 21 22 23 151       -0.89      -1.84       0.34    -405.13      -9.59      22.71       3.08   23294.97
2017 09 06 21 23 16 650       -0.88      -1.75       0.45    -406.00     -10.35      23.62       3.21   21988.05
2017 09 06 21 24 02 653       -0.89      -1.72       0.54    -407.89     -11.32      23.13       3.06   22529.57
2017 09 06 21 24 54 889       -0.87      -1.94       0.58    -408.95     -14.81      22.29       2.94   20319.93
2017 09 06 21 25 56 121       -0.69      -2.01       0.62    -408.78     -14.73      25.68       2.53   22383.88
2017 09 06 21 26 52 548       -0.78      -1.96       0.95    -409.27     -15.28      26.20       2.51   21049.80
2017 09 06 21 27 54 257       -0.87      -2.03       0.86    -409.04     -16.22      27.45       2.47   21053.80
2017 09 06 21 28 42 397        0.54      -1.73       1.12    -410.67     -15.59      24.96       2.44   20016.12
2017 09 06 21 31 37 736        1.69      -1.71       1.06    -395.38     -18.19      32.87       2.41   19519.68
2017 09 06 21 32 45 422       -0.80      -1.95       0.30    -418.67     -24.90      25.23       2.42   18718.47
2017 09 06 21 34 02 432       -0.52      -1.94       0.87    -416.25     -22.32      33.46       2.36   18518.18
2017 09 06 21 36 14 250        0.48      -2.23       0.48    -406.33     -24.76      30.87       2.30   18317.88
2017 09 06 21 38 36 218        1.18      -2.32       0.07    -395.57     -26.81      24.58       2.24   18117.57
2017 09 06 21 39 59 479        1.08      -2.44      -0.34    -392.62     -26.03      16.20       2.20   17917.28
2017 09 06 21 40 04 786        0.28      -2.60      -0.42    -399.63     -26.27       8.98       2.32   17716.97
2017 09 06 21 40 31 649       -0.53      -2.02       1.25    -412.15     -15.58      26.33       2.24   17316.38
2017 09 06 21 41 15 902       -0.57      -1.77       1.25    -414.35      -8.00      34.38       2.55   17116.07
2017 09 06 21 41 52 079       -0.36      -0.88       1.70    -417.72       4.09      30.13       2.56   16915.78
2017 09 06 21 42 53 322       -0.89      -1.49       0.73    -417.54       3.80      30.67       2.57   16715.47
2017 09 06 21 44 22 249       -1.05      -2.09      -0.75    -422.01     -16.28       8.31       2.59   16314.88
2017 09 06 21 45 35 084       -1.06      -2.26       0.11    -420.15     -18.72      14.87       2.43   19298.70
2017 09 06 21 46 53 284       -0.73      -2.31       0.71    -417.55     -19.35      22.90       2.32   18826.65
2017 09 06 21 48 19 601       -0.59      -2.24       1.01    -413.84     -20.66      30.25       2.23   16848.85
2017 09 06 21 49 23 526       -0.61      -2.15       0.87    -413.29     -19.67      29.95       2.16   16006.81
2017 09 06 21 50 32 358       -0.55      -2.30       0.77    -412.06     -19.92      27.78       2.23   15543.36
2017 09 06 21 51 33 872       -0.47      -2.38       0.74    -411.85     -20.52      27.48       2.33   17540.45
2017 09 06 21 52 25 920       -0.79      -2.36       0.45    -412.95     -20.96      26.32       2.44   18960.32
2017 09 06 21 53 16 118       -0.66      -2.44       0.54    -414.32     -21.32      22.85       2.52   16889.20
2017 09 06 21 55 03 734        0.19      -2.40       0.95    -407.76     -21.09      27.36       2.48   16256.20
2017 09 06 21 56 21 167       -0.57      -2.10       1.07    -405.40     -17.93      33.19       2.44   14333.64
2017 09 06 21 56 38 460       -1.93      -1.26      -0.46    -428.48      -6.64      10.80       2.34   14925.75
2017 09 06 21 57 33 059       -1.93      -1.40      -0.21    -429.29      -6.70      12.30       2.29   15123.12
2017 09 06 21 58 38 758       -2.11      -1.05      -0.41    -428.44     -10.34      11.37       2.48   15320.49
