File created on 2025-05-13T16:24:15.474335
Source data from inputFile created on 2025-05-13 16:24:15.473484#COOR
GSM


#START
2017 09 06 17 52 00 000       -0.05      -1.58      -0.79    -406.88       7.60       0.74       3.31   35764.15
2017 09 06 17 53 00 000       -0.20      -1.73       0.20    -409.44      -5.26      -4.07       3.11   35043.59
2017 09 06 17 54 00 000       -0.42      -1.78      -0.05    -412.72      -9.77      -4.83       3.31   37228.99
2017 09 06 17 55 00 000       -0.66      -1.59      -0.35    -417.08      -8.79      -4.07       3.82   50207.03
2017 09 06 17 56 00 000       -0.76      -1.52      -0.25    -417.60      -9.84     -10.06       3.71   53888.38
2017 09 06 17 57 00 000       -0.36      -1.62      -1.00    -418.89     -12.45     -16.56       3.56   54787.30
2017 09 06 17 58 00 000       -0.58      -1.79      -0.68    -417.28     -12.07     -19.06       3.48   52750.35
2017 09 06 17 59 00 000       -0.58      -2.09      -0.31    -415.13     -11.55     -20.45       3.26   44357.86
2017 09 06 18 00 00 000       -0.46      -2.02      -0.72    -413.16     -11.78     -20.18       3.09   39592.62
2017 09 06 18 01 00 000       -0.29      -2.19      -0.00    -411.61     -12.47     -18.88       2.99   39789.85
2017 09 06 18 02 00 000       -0.12      -2.10       0.23    -410.75     -12.49     -18.91       2.95   40431.18
2017 09 06 18 03 00 000        0.05      -2.04       0.40    -410.17     -12.44     -19.82       2.94   41505.12
2017 09 06 18 04 00 000        0.02      -1.99      -0.10    -414.13     -12.17     -20.32       3.23   47960.22
2017 09 06 18 05 00 000       -0.25      -2.10      -0.49    -413.58     -10.67     -21.13       3.37   50273.13
2017 09 06 18 06 00 000       -0.13      -2.03      -0.65    -410.17      -8.80     -21.76       3.09   45212.20
2017 09 06 18 07 00 000        0.27      -2.14      -0.46    -408.08       6.32     -22.45       2.97   43035.99
2017 09 06 18 08 00 000        0.32      -2.14      -0.34    -408.83      -5.44     -25.41       2.94   48336.05
2017 09 06 18 09 00 000        0.26      -2.08      -0.25    -410.28     -11.76     -25.90       2.91   44986.04
2017 09 06 18 10 00 000        0.12      -2.24      -0.17    -410.19     -12.35     -22.47       2.89   40640.09
2017 09 06 18 11 00 000        0.17      -2.27      -0.17    -409.53     -10.75     -21.19       2.90   40382.73
2017 09 06 18 12 00 000        0.27      -2.25      -0.21    -408.82       3.99     -19.92       2.99   40884.52
2017 09 06 18 13 00 000        0.19      -2.27      -0.17    -410.53      -7.99     -18.09       3.06   43371.57
2017 09 06 18 14 00 000       -0.02      -2.28      -0.17    -412.36     -12.46     -15.79       3.06   43285.49
2017 09 06 18 15 00 000        0.00      -2.28      -0.22    -411.95     -13.09     -16.01       2.99   39724.73
2017 09 06 18 16 00 000       -0.01      -2.30      -0.32    -412.01     -12.72     -14.37       3.07   40218.24
2017 09 06 18 17 00 000        0.10      -2.29       0.04    -411.62     -10.54     -12.22       3.10   41513.20
2017 09 06 18 18 00 000        0.15      -2.31       0.14    -410.45     -10.09     -14.68       3.05   40851.92
2017 09 06 18 19 00 000        0.20      -2.34       0.06    -409.13      -9.33     -13.08       3.10   42297.48
2017 09 06 18 20 00 000        0.45      -2.31      -0.01    -407.85       2.96     -11.49       3.16   42138.07
2017 09 06 18 21 00 000        0.37      -2.31       0.07    -406.78       8.11      -9.03       3.24   41811.04
2017 09 06 18 22 00 000        0.77      -2.15       0.62    -406.19       8.23      -8.36       3.29   42319.55
2017 09 06 18 23 00 000        0.64      -2.21       0.57    -409.32      -5.26      -9.80       3.22   38445.76
2017 09 06 18 24 00 000        0.33      -2.38       0.28    -409.33      -8.60      -7.10       3.18   33360.71
2017 09 06 18 25 00 000        0.39      -2.44       0.05    -407.39       1.05      -6.33       3.17   32212.83
2017 09 06 18 26 00 000        0.31      -2.43       0.06    -410.65      -5.40      -4.66       3.38   31504.10
2017 09 06 18 27 00 000        0.04      -2.46      -0.20    -411.68      -9.63      -3.97       3.48   32000.29
2017 09 06 18 28 00 000       -0.03      -2.46      -0.05    -411.66     -10.83      -3.80       3.43   30911.30
2017 09 06 18 29 00 000       -0.25      -2.57      -0.21    -411.10      -9.56      -4.86       3.27   26802.48
2017 09 06 18 30 00 000       -0.42      -2.54      -0.38    -412.24     -10.02      -4.83       3.36   28376.13
2017 09 06 18 31 00 000       -0.51      -2.55      -0.55    -411.51      -7.88      -2.28       3.55   28103.76
2017 09 06 18 32 00 000       -0.42      -2.63      -0.37    -408.66       1.87       1.11       3.44   25338.73
2017 09 06 18 33 00 000       -0.03      -2.70      -0.10    -405.60       5.35       2.74       3.36   23766.11
2017 09 06 18 34 00 000        0.05      -2.67       0.07    -402.74       5.51       3.62       3.31   22843.49
2017 09 06 18 35 00 000        0.51      -2.63       0.58    -402.04       5.27       5.31       3.28   22038.96
2017 09 06 18 36 00 000        0.37      -2.68       0.48    -404.28       4.90       5.82       3.31   25270.21
2017 09 06 18 37 00 000        0.52      -2.51       0.89    -406.48       4.60       2.75       3.41   33956.36
2017 09 06 18 38 00 000        0.52      -2.48       1.06    -406.61       4.57       1.42       3.40   35873.22
2017 09 06 18 39 00 000        0.59      -2.48       0.90    -405.88       4.69       0.77       3.40   37183.77
2017 09 06 18 40 00 000        0.67      -2.46       0.96    -405.41       5.00       0.39       3.39   37324.63
2017 09 06 18 41 00 000        0.70      -2.48       0.93    -405.59       5.59      -1.56       3.39   37614.24
2017 09 06 18 42 00 000        0.72      -2.53       0.86    -405.41       6.22      -1.72       3.42   38500.95
2017 09 06 18 43 00 000        0.76      -2.47       0.97    -404.80       6.65      -0.31       3.43   38990.78
2017 09 06 18 44 00 000        0.65      -2.28       1.35    -404.10       3.57      -0.25       3.40   37749.90
2017 09 06 18 45 00 000        1.01      -2.46       0.70    -402.21      -2.30      -2.04       3.35   36531.91
2017 09 06 18 46 00 000        0.97      -2.41       0.80    -403.04       4.76      -1.90       3.38   38233.89
2017 09 06 18 47 00 000        0.94      -2.35       1.07    -400.56       0.17       0.65       3.36   36994.82
