File created on 2025-03-04T16:03:35.267070
32 min time shift appliedSource data from dscovrFile created on 2025-03-04 16:03:35.266466#COOR
GSM


#START
2017 09 06 17 57 00 000        0.11      -2.30       0.10    -411.57     -10.40     -12.17       3.09   41561.73
2017 09 06 17 58 00 000        0.21      -2.32       0.09    -410.12     -10.08     -14.70       3.05   41022.93
2017 09 06 17 59 00 000        0.37      -2.32       0.01    -408.53      -5.49     -12.26       3.13   42534.69
2017 09 06 18 00 00 000        0.40      -2.31       0.07    -407.12       8.50     -10.13       3.20   41841.51
2017 09 06 18 01 00 000        0.79      -2.14       0.64    -406.24       7.92      -7.94       3.29   42055.86
2017 09 06 18 02 00 000        0.78      -2.15       0.51    -407.20       4.20      -9.66       3.26   41668.83
2017 09 06 18 03 00 000        0.41      -2.32       0.50    -410.28      -9.84      -9.62       3.19   36561.40
2017 09 06 18 04 00 000        0.37      -2.43       0.05    -408.51      -5.19      -6.37       3.17   32377.80
2017 09 06 18 05 00 000        0.65      -2.42       0.14    -407.71       3.08      -5.80       3.23   31827.35
2017 09 06 18 06 00 000        0.11      -2.44       0.01    -411.77      -8.55      -4.24       3.42   31330.69
2017 09 06 18 07 00 000        0.06      -2.45      -0.14    -411.68      -9.69      -3.96       3.48   32042.70
2017 09 06 18 08 00 000       -0.10      -2.51      -0.09    -411.65     -10.87      -3.81       3.42   30760.41
2017 09 06 18 09 00 000       -0.35      -2.57      -0.29    -411.09      -9.42      -5.00       3.26   26425.69
2017 09 06 18 10 00 000       -0.49      -2.52      -0.44    -412.30     -10.00      -4.95       3.35   28446.27
2017 09 06 18 11 00 000       -0.45      -2.61      -0.46    -411.19      -6.78      -1.83       3.55   27804.32
2017 09 06 18 12 00 000       -0.09      -2.69      -0.14    -406.43       5.30       2.54       3.37   24010.81
2017 09 06 18 13 00 000        0.38      -2.63       0.48    -402.24       5.49       3.99       3.30   22599.33
2017 09 06 18 14 00 000        0.48      -2.68       0.43    -402.21       5.17       5.90       3.27   21834.87
2017 09 06 18 15 00 000        0.33      -2.67       0.55    -404.31       4.89       6.24       3.30   24515.24
2017 09 06 18 16 00 000        0.52      -2.51       0.90    -406.20       4.67       2.81       3.41   33714.29
2017 09 06 18 17 00 000        0.53      -2.48       1.06    -406.83       4.51       2.08       3.41   35112.21
2017 09 06 18 18 00 000        0.61      -2.47       0.90    -406.05       4.68       0.60       3.39   37147.23
2017 09 06 18 19 00 000        0.65      -2.46       0.97    -405.39       4.90       0.71       3.40   37315.52
2017 09 06 18 20 00 000        0.71      -2.49       0.90    -405.53       5.55      -1.35       3.38   37520.72
2017 09 06 18 21 00 000        0.73      -2.53       0.86    -405.54       6.06      -1.96       3.42   38320.07
