File created on 2024-08-22T17:58:11.643593
Source data: wind_20170906_180030_merged.cdfBallistically propagted from L1 to upstream BATS-R-US boundaryFile created on 2024-08-22 17:58:11.642910#COOR
GSM


#START
2017 09 06 19 00 35 162        0.37      -2.41       1.41    -403.22      -4.41      32.59       2.77   28596.41
2017 09 06 19 01 30 800        0.71      -2.42       1.29    -403.70      -3.70      34.43       2.89   29203.31
2017 09 06 19 02 20 589        0.85      -2.49       1.10    -404.84      -2.90      36.24       3.01   29578.02
2017 09 06 19 02 57 338        0.62      -2.41       1.28    -407.46      -2.54      36.16       2.98   28649.28
2017 09 06 19 03 53 267        0.11      -2.23       1.61    -407.92      -2.96      35.03       2.92   28182.31
2017 09 06 19 05 46 942        0.39      -2.31       1.26    -401.91      -5.75      30.80       2.78   29100.67
2017 09 06 19 07 15 142        0.93      -2.41       1.03    -398.83      -4.94      31.36       2.71   35871.69
2017 09 06 19 08 29 114        1.12      -2.43       1.00    -397.32      -3.63      32.53       2.65   40467.32
2017 09 06 19 09 26 422        1.11      -2.43       1.02    -397.61      -4.38      30.71       2.58   32684.09
2017 09 06 19 10 33 482        1.16      -2.41       1.01    -396.85      -4.59      30.05       2.58   31165.97
2017 09 06 19 11 43 842        1.31      -2.34       0.92    -395.74      -4.62      29.78       2.60   31736.23
2017 09 06 19 12 31 727        1.44      -2.27       0.89    -397.04      -5.65      30.36       2.69   31686.67
2017 09 06 19 13 19 520        0.98      -2.44       0.92    -398.36      -6.45      31.29       2.77   31231.27
2017 09 06 19 14 29 117        1.03      -2.40       0.93    -397.32      -5.57      32.39       2.76   30178.14
2017 09 06 19 15 20 349        0.97      -2.39       1.00    -398.27      -5.45      33.55       2.79   30065.12
2017 09 06 19 16 05 554        0.94      -2.35       1.12    -399.88      -5.57      34.71       2.84   30265.46
2017 09 06 19 17 15 158        0.71      -2.41       1.14    -398.83      -6.02      33.91       2.87   29953.62
2017 09 06 19 18 25 290        0.83      -2.37       1.18    -397.74      -6.11      33.45       2.90   29358.41
2017 09 06 19 19 12 352        0.86      -2.29       1.41    -399.14      -4.77      35.95       2.95   28425.26
2017 09 06 19 20 18 674        0.86      -2.27       1.50    -398.45      -3.26      36.83       2.97   30079.62
2017 09 06 19 21 27 414        1.10      -2.16       1.53    -397.51      -2.30      36.96       2.98   31850.35
2017 09 06 19 22 24 006        1.11      -2.11       1.56    -397.87      -3.19      36.47       3.01   31382.71
2017 09 06 19 23 25 175        1.10      -2.10       1.46    -397.75      -3.06      37.07       3.03   32990.25
2017 09 06 19 24 40 129        1.13      -2.05       1.55    -396.14       0.09      40.95       3.07   40823.30
2017 09 06 19 25 50 069        1.16      -1.98       1.48    -395.08       0.40      40.79       2.89   37511.88
2017 09 06 19 26 47 859        1.20      -1.91       1.38    -395.32      -0.80      38.12       2.70   32360.25
2017 09 06 19 27 14 583        1.12      -1.90       1.27    -398.90      -3.71      31.94       2.67   32832.49
2017 09 06 19 27 48 426        0.67      -2.32       0.61    -401.76      -6.17      27.04       2.61   32179.33
2017 09 06 19 28 42 084        0.53      -2.47       0.46    -402.46      -7.25      26.01       2.45   28149.97
2017 09 06 19 30 12 589        0.55      -2.47       0.42    -399.11       8.27      14.72       2.45   28666.36
2017 09 06 19 31 42 952        0.67      -2.49       0.35    -395.84      22.54       4.81       2.50   29924.88
2017 09 06 19 32 33 807        0.90      -2.47       0.25    -396.82      16.46       9.32       2.51   28864.08
2017 09 06 19 33 24 706        0.95      -2.40       0.58    -397.80      10.38      13.82       2.53   27803.29
2017 09 06 19 34 15 649        0.79      -2.40       0.86    -398.78       4.29      18.32       2.55   26742.49
2017 09 06 19 35 06 637        0.58      -2.41       1.07    -399.76      -1.79      22.83       2.56   25681.70
2017 09 06 19 36 01 076        0.53      -2.48       0.93    -400.37      -6.48      26.68       2.59   25580.99
2017 09 06 19 37 05 758        0.73      -2.54       0.75    -399.86      -6.97      28.58       2.64   28360.57
2017 09 06 19 38 17 712        0.77      -2.57       0.67    -398.56      -7.01      29.40       2.61   30709.11
2017 09 06 19 39 32 186        0.99      -2.49       0.52    -397.00      -6.89      29.86       2.54   32913.95
2017 09 06 19 40 15 599        0.85      -2.48       0.66    -398.79      -6.95      32.10       2.52   35461.33
2017 09 06 19 41 03 060        0.52      -2.53       0.83    -400.15      -6.99      33.16       2.51   36334.20
2017 09 06 19 42 33 226        0.59      -2.49       0.85    -396.89      -6.81      28.91       2.51   31841.04
2017 09 06 19 43 32 342        0.91      -2.45       0.65    -396.98      -6.85      28.19       2.55   29573.12
2017 09 06 19 44 21 067        0.92      -2.47       0.59    -398.20      -6.97      28.66       2.61   28046.95
2017 09 06 19 45 18 991        0.74      -2.56       0.63    -398.42      -8.00      27.86       2.51   27159.55
2017 09 06 19 46 30 687        0.73      -2.55       0.73    -397.16      -8.35      27.81       2.43   27829.53
2017 09 06 19 48 15 199        1.10      -2.30       1.05    -392.43      -5.77      31.23       2.56   32532.85
2017 09 06 19 49 22 861        1.36      -2.17       1.10    -391.62      -5.18      32.17       2.55   33620.24
2017 09 06 19 50 21 067        1.36      -2.19       1.02    -391.81      -5.29      32.05       2.52   33647.80
2017 09 06 19 51 28 423        1.45      -2.13       1.01    -391.04      -5.48      31.22       2.55   34111.80
2017 09 06 19 52 33 492        1.47      -2.16       1.03    -390.51      -5.18      31.12       2.59   34676.55
2017 09 06 19 53 31 622        1.50      -2.14       1.01    -390.71      -3.37      33.21       2.67   35543.52
2017 09 06 19 54 15 447        1.46      -2.07       1.11    -392.40      -2.62      35.01       2.70   34473.19
2017 09 06 19 55 02 720        1.32      -2.03       1.29    -393.74      -2.58      35.76       2.69   32920.83
2017 09 06 19 56 14 166        1.26      -1.96       1.43    -392.54      -3.63      33.67       2.67   31859.71
2017 09 06 19 57 26 838        1.35      -1.99       1.35    -391.21      -3.91      32.72       2.68   33635.44
2017 09 06 19 58 43 090        1.72      -1.78       1.30    -389.52      -1.93      35.22       2.81   43921.73
2017 09 06 19 59 39 173        1.71      -1.82       1.25    -389.93      -2.43      33.37       2.78   40059.04
2017 09 06 20 00 30 239        1.66      -1.89       1.05    -390.85      -3.59      30.99       2.72   33381.40
2017 09 06 20 01 26 378        1.54      -1.89       1.11    -391.26      -4.25      31.37       2.70   32407.85
2017 09 06 20 02 28 523        1.39      -1.90       1.19    -391.03      -4.17      31.42       2.67   32815.59
2017 09 06 20 03 48 795        1.64      -1.65       1.10    -388.93      -1.88      30.54       2.64   37367.24
2017 09 06 20 04 43 703        1.68      -1.50       1.10    -389.46      -0.42      31.43       2.55   37914.30
2017 09 06 20 05 19 274        1.56      -1.39       1.21    -392.00       0.83      32.60       2.52   35728.40
2017 09 06 20 05 23 190        1.48      -1.28       1.24    -397.97       2.26      32.77       2.76   29348.12
2017 09 06 20 06 00 572        0.13      -1.66       0.84    -400.43       1.57      30.55       2.76   27068.60
2017 09 06 20 06 48 826       -0.68      -1.81       0.54    -401.72       0.18      27.52       2.66   26156.00
2017 09 06 20 07 36 217       -0.92      -1.91       0.24    -403.11      -2.04      25.99       2.54   26980.18
2017 09 06 20 08 36 007       -0.92      -2.04       0.23    -403.14      -3.72      25.72       2.50   27885.59
2017 09 06 20 10 14 195       -0.20      -1.99       0.58    -398.95      -2.98      27.74       2.71   27297.96
