File created on 2025-03-04T15:26:21.128246
33 min time shift appliedSource data from windFile created on 2025-03-04 15:26:21.127966#COOR
GSM


#START
2017 09 06 17 58 00 000        0.06      -2.26       0.82    -410.99      -7.43      26.42       2.32   31994.97
2017 09 06 17 59 00 000       -0.02      -2.40       0.62    -412.52      -6.36      25.43       2.36   29179.36
2017 09 06 18 00 00 000       -0.14      -2.49       0.40    -414.91      -5.40      24.67       2.49   31970.21
2017 09 06 18 01 00 000       -0.30      -2.51       0.24    -415.14      -4.35      24.30       2.61   30771.51
2017 09 06 18 02 00 000       -0.25      -2.51       0.30    -414.67      -3.65      24.21       2.67   29072.97
2017 09 06 18 03 00 000       -0.29      -2.50       0.27    -414.25      -4.07      24.57       2.59   29864.47
2017 09 06 18 04 00 000       -0.38      -2.48       0.33    -413.77      -4.65      25.05       2.51   29566.87
2017 09 06 18 05 00 000       -0.48      -2.56       0.28    -413.14      -5.71      25.90       2.47   26001.97
2017 09 06 18 06 00 000       -0.90      -2.52      -0.03    -415.15      -3.48      26.43       2.53   33276.50
2017 09 06 18 07 00 000       -1.11      -2.52      -0.03    -416.90      -1.61      26.38       2.61   39105.93
2017 09 06 18 08 00 000       -1.21      -2.51       0.01    -415.23      -4.11      24.95       2.65   29760.63
2017 09 06 18 09 00 000       -0.96      -2.60       0.07    -411.92      -5.32      25.67       2.60   25318.56
2017 09 06 18 10 00 000       -0.44      -2.70       0.37    -408.07      -6.09      27.10       2.52   22510.90
2017 09 06 18 11 00 000       -0.26      -2.74       0.54    -406.02      -5.91      28.53       2.58   22043.72
2017 09 06 18 12 00 000       -0.20      -2.74       0.57    -405.15      -5.90      29.75       2.63   22666.99
2017 09 06 18 13 00 000       -0.10      -2.73       0.67    -406.05      -7.36      30.38       2.52   24221.06
2017 09 06 18 14 00 000       -0.07      -2.71       0.67    -407.39      -7.19      29.96       2.49   23380.63
2017 09 06 18 15 00 000       -0.26      -2.69       0.75    -408.87      -6.49      29.19       2.49   21742.04
2017 09 06 18 16 00 000       -0.26      -2.69       0.71    -406.18      -6.63      29.86       2.41   23975.11
2017 09 06 18 17 00 000        0.23      -2.55       0.95    -403.98      -6.95      30.62       2.36   27430.15
2017 09 06 18 18 00 000        0.61      -2.42       1.11    -407.38      -6.93      30.21       2.45   30679.48
2017 09 06 18 19 00 000        0.51      -2.50       0.93    -409.04      -8.00      27.62       2.43   33438.44
2017 09 06 18 20 00 000        0.34      -2.52       0.80    -410.12      -9.44      24.30       2.38   36033.94
2017 09 06 18 21 00 000        0.61      -2.36       1.06    -408.12      -7.83      26.94       2.45   34350.42
2017 09 06 18 22 00 000        0.72      -2.40       1.15    -405.21      -5.25      29.87       2.56   35644.58
2017 09 06 18 23 00 000        0.82      -2.48       0.90    -402.66      -2.81      27.75       2.70   50150.85
2017 09 06 18 24 00 000        1.00      -2.54       0.75    -401.51      -4.16      26.07       2.68   44279.19
2017 09 06 18 25 00 000        1.09      -2.51       0.82    -401.14      -6.04      26.46       2.61   34520.63
2017 09 06 18 26 00 000        1.17      -2.32       1.03    -401.68      -5.68      32.61       2.49   33479.33
2017 09 06 18 27 00 000        0.96      -2.14       1.47    -402.14      -4.86      37.72       2.44   32217.76
2017 09 06 18 28 00 000        0.84      -1.90       1.78    -402.41      -2.64      39.73       2.55   30295.36
2017 09 06 18 29 00 000        0.79      -2.04       1.66    -402.54      -2.43      38.78       2.62   30704.03
2017 09 06 18 30 00 000        0.81      -2.17       1.56    -402.72      -2.79      37.28       2.68   31533.52
2017 09 06 18 31 00 000        0.79      -2.24       1.48    -403.19      -2.86      37.05       2.78   31294.43
2017 09 06 18 32 00 000        0.73      -2.26       1.49    -403.49      -3.16      36.16       2.84   30695.33
2017 09 06 18 33 00 000        0.45      -2.38       1.44    -403.27      -4.16      33.30       2.78   29016.20
2017 09 06 18 34 00 000        0.71      -2.42       1.29    -403.70      -3.70      34.43       2.89   29203.31
2017 09 06 18 35 00 000        0.85      -2.49       1.10    -404.84      -2.90      36.24       3.01   29578.01
2017 09 06 18 36 00 000        0.62      -2.41       1.28    -407.46      -2.54      36.16       2.98   28649.28
2017 09 06 18 37 00 000        0.11      -2.23       1.61    -407.92      -2.96      35.03       2.92   28182.31
2017 09 06 18 38 00 000        0.39      -2.31       1.26    -401.91      -5.75      30.80       2.78   29100.67
2017 09 06 18 39 00 000        0.93      -2.41       1.03    -398.83      -4.94      31.36       2.71   35871.69
2017 09 06 18 40 00 000        1.12      -2.43       1.00    -397.32      -3.63      32.53       2.65   40467.32
2017 09 06 18 41 00 000        1.11      -2.43       1.02    -397.61      -4.38      30.71       2.58   32684.09
2017 09 06 18 42 00 000        1.16      -2.41       1.01    -396.85      -4.59      30.05       2.58   31165.97
2017 09 06 18 43 00 000        1.31      -2.34       0.92    -395.74      -4.62      29.78       2.60   31736.23
2017 09 06 18 44 00 000        1.44      -2.27       0.89    -397.04      -5.65      30.36       2.69   31686.67
2017 09 06 18 45 00 000        0.98      -2.44       0.92    -398.36      -6.45      31.29       2.77   31231.27
2017 09 06 18 46 00 000        1.03      -2.40       0.93    -397.32      -5.57      32.39       2.76   30178.15
2017 09 06 18 47 00 000        0.97      -2.39       1.00    -398.27      -5.45      33.55       2.79   30065.12
2017 09 06 18 48 00 000        0.94      -2.35       1.12    -399.88      -5.57      34.71       2.84   30265.46
