File created on 2026-02-06T13:39:27.352946
#COOR
GSM


#START
2026 01 19 00 03 00 000        5.32      -0.99       4.95    -466.63     -21.51      43.84       2.83   46233.85
2026 01 19 00 04 00 000        5.56      -0.99       4.56    -466.63     -21.50      43.84       2.83   45314.34
2026 01 19 00 05 00 000        6.28       0.18       3.61    -464.05     -15.21      44.47       2.76   38360.92
2026 01 19 00 06 00 000        6.40       0.54       3.46    -460.94      -8.92      45.10       2.69   32440.74
2026 01 19 00 07 00 000        6.30       0.55       3.64    -458.81      -8.91      45.10       2.69   35654.22
2026 01 19 00 08 00 000        6.12       0.29       4.04    -457.69      -9.86      44.74       2.69   37904.23
2026 01 19 00 09 00 000        6.16       0.21       3.98    -459.64     -13.66      43.28       2.69   37263.80
2026 01 19 00 10 00 000        6.22       0.22       3.85    -459.03     -14.60      42.92       2.69   37956.51
2026 01 19 00 11 00 000        6.14       0.33       3.93    -457.57     -14.59      42.92       2.69   39093.61
2026 01 19 00 12 00 000        6.11       0.33       3.94    -457.20     -11.96      42.06       2.58   29432.47
2026 01 19 00 13 00 000        6.09       0.29       3.93    -456.67     -10.77      41.00       2.54   27795.95
2026 01 19 00 14 00 000        6.14       0.26       3.83    -455.96     -10.36      39.96       2.54   30034.11
2026 01 19 00 15 00 000        6.15       0.26       3.79    -455.79     -12.04      39.90       2.54   39585.18
2026 01 19 00 16 00 000        5.95       0.40       4.04    -455.79     -14.41      40.17       2.54   51573.89
2026 01 19 00 17 00 000        5.77       0.20       4.28    -456.45     -17.30      38.99       2.65   42152.76
2026 01 19 00 18 00 000        5.65      -0.04       4.44    -457.12     -19.69      37.69       2.75   31800.01
2026 01 19 00 19 00 000        5.67      -0.04       4.40    -457.12     -20.09      37.54       2.75   40062.26
2026 01 19 00 20 00 000        5.81      -0.17       4.13    -456.11     -19.98      37.58       2.75   42656.84
2026 01 19 00 21 00 000        5.93      -0.25       3.88    -454.59     -19.81      37.80       2.77   42748.44
2026 01 19 00 22 00 000        5.90      -0.03       3.93    -452.53     -20.00      38.32       2.83   40998.73
2026 01 19 00 23 00 000        6.02      -0.18       3.70    -450.81     -20.14      38.71       2.92   43109.53
2026 01 19 00 24 00 000        6.19      -0.41       3.32    -450.12     -20.13      38.72       3.04   56801.91
2026 01 19 00 25 00 000        6.38      -0.57       2.77    -450.26     -19.57      37.48       3.07   51133.66
2026 01 19 00 26 00 000        6.05      -0.33       3.30    -450.69     -18.81      35.83       2.80   41795.78
2026 01 19 00 27 00 000        5.67      -0.03       3.99    -451.11     -18.06      34.17       2.52   40809.65
2026 01 19 00 28 00 000        5.66       0.07       4.06    -451.54     -17.31      32.52       2.52   39823.51
2026 01 19 00 29 00 000        5.96      -0.02       3.54    -451.96     -16.56      30.87       2.52   38837.38
2026 01 19 00 30 00 000        6.29      -0.30       2.90    -452.39     -15.80      29.22       2.55   44633.86
2026 01 19 00 31 00 000        6.38      -0.96       2.53    -452.81     -15.05      27.56       2.58   52691.20
2026 01 19 00 32 00 000        6.49      -1.84       1.92    -452.92     -16.55      20.91       2.59   45250.80
2026 01 19 00 33 00 000        6.56      -2.59       1.39    -452.38     -18.25      14.67       2.59   36421.17
2026 01 19 00 34 00 000        6.50      -2.66       1.31    -450.24     -18.24      14.67       2.59   38921.64
2026 01 19 00 35 00 000        6.56      -2.40       1.46    -449.71     -18.24      14.68       2.53   37188.83
2026 01 19 00 36 00 000        6.65      -2.04       1.68    -449.71     -18.23      14.68       2.46   34044.91
2026 01 19 00 37 00 000        6.61      -2.23       1.61    -449.22     -17.41      12.66       2.44   33122.79
2026 01 19 00 38 00 000        6.56      -2.44       1.51    -448.95     -17.39      10.33       2.44   33624.99
2026 01 19 00 39 00 000        6.66      -2.12       1.63    -449.81     -20.63       9.10       2.44   36178.37
2026 01 19 00 40 00 000        6.60      -2.10       1.83    -450.83     -22.20      10.80       2.52   37884.15
2026 01 19 00 41 00 000        6.49      -2.20       2.01    -451.89     -23.22      13.48       2.64   39307.40
2026 01 19 00 42 00 000        6.36      -2.39       2.06    -453.41     -29.70      11.77       2.67   40112.04
2026 01 19 00 43 00 000        6.23      -2.82       1.99    -454.65     -35.65       8.71       2.68   39666.42
2026 01 19 00 44 00 000        6.20      -3.03       1.97    -454.65     -34.60       5.97       2.76   36088.62
2026 01 19 00 45 00 000        6.45      -2.36       2.22    -453.27     -32.42       6.02       2.72   39558.66
2026 01 19 00 46 00 000        6.52      -2.25       2.17    -451.43     -29.87       7.00       2.64   45377.99
2026 01 19 00 47 00 000        6.48      -2.46       1.98    -450.97     -28.94       6.50       2.72   42960.24
2026 01 19 00 48 00 000        6.27      -3.01       1.67    -451.33     -28.76       5.02       2.78   40244.14
2026 01 19 00 49 00 000        6.11      -3.47       1.37    -452.75     -29.20       2.08       2.65   44870.07
2026 01 19 00 50 00 000        6.06      -3.73       1.07    -454.56     -30.41      -1.66       2.61   41719.10
2026 01 19 00 51 00 000        6.29      -3.50       0.76    -456.50     -31.86      -5.66       2.58   35975.83
2026 01 19 00 52 00 000        5.97      -4.02       0.49    -457.58     -32.00      -8.09       2.55   35859.53
2026 01 19 00 53 00 000        5.62      -4.57       0.20    -459.18     -31.98     -11.11       2.53   36997.17
2026 01 19 00 54 00 000        5.67      -4.49      -0.17    -463.22     -32.77     -17.51       2.53   36269.69
2026 01 19 00 55 00 000        5.58      -4.62      -0.39    -464.83     -33.85     -19.43       2.61   40367.02
2026 01 19 00 56 00 000        5.47      -4.81      -0.46    -465.62     -35.03     -19.86       2.72   46072.64
2026 01 19 00 57 00 000        5.48      -4.92      -0.24    -465.82     -35.33     -19.96       2.75   51077.22
2026 01 19 00 58 00 000        5.39      -5.08      -0.27    -465.82     -35.74     -20.10       2.74   52038.56
2026 01 19 00 59 00 000        5.26      -5.26      -0.40    -465.82     -37.39     -20.68       2.72   41571.21
2026 01 19 01 00 00 000        5.17      -5.44      -0.43    -469.48     -38.11     -21.25       2.67   45708.76
2026 01 19 01 01 00 000        5.06      -5.63      -0.47    -474.36     -38.51     -21.82       2.61   54714.62
2026 01 19 01 02 00 000        4.86      -5.85      -0.64    -475.58     -38.61     -21.95       2.60   50389.60
2026 01 19 01 03 00 000        4.87      -5.73      -0.71    -475.12     -38.62     -22.04       2.60   42687.12
2026 01 19 01 04 00 000        5.00      -5.48      -0.74    -473.28     -38.65     -22.44       2.60   38183.18
2026 01 19 01 05 00 000        5.26      -5.12      -0.72    -471.90     -36.44     -21.90       2.61   35691.58
2026 01 19 01 06 00 000        5.59      -4.74      -0.65    -471.90     -27.53     -18.55       2.66   39237.04
2026 01 19 01 07 00 000        5.57      -4.69      -0.63    -474.37     -31.05     -20.70       2.68   42216.60
